19/07/2017 11:05:26	     5.000 MHz	 10.4 V/m	-19.4 dBm	OK
19/07/2017 11:05:30	     5.025 MHz	 10.5 V/m	-19.2 dBm	OK
19/07/2017 11:05:34	     5.050 MHz	 10.4 V/m	-19.2 dBm	OK
19/07/2017 11:05:37	     5.075 MHz	 10.5 V/m	-19.2 dBm	OK
19/07/2017 11:05:40	     5.101 MHz	 10.5 V/m	-19.2 dBm	OK
19/07/2017 11:05:44	     5.126 MHz	 10.5 V/m	-19.2 dBm	OK
19/07/2017 11:05:47	     5.152 MHz	 10.5 V/m	-19.2 dBm	OK
19/07/2017 11:05:50	     5.178 MHz	 10.5 V/m	-19.2 dBm	OK
19/07/2017 11:05:53	     5.204 MHz	 10.5 V/m	-19.2 dBm	OK
19/07/2017 11:05:56	     5.230 MHz	 10.5 V/m	-19.2 dBm	OK
19/07/2017 11:06:00	     5.256 MHz	 10.5 V/m	-19.2 dBm	OK
19/07/2017 11:06:04	     5.282 MHz	 10.7 V/m	-19.2 dBm	OK
19/07/2017 11:06:07	     5.308 MHz	 10.7 V/m	-19.2 dBm	OK
19/07/2017 11:06:10	     5.335 MHz	 10.7 V/m	-19.2 dBm	OK
19/07/2017 11:06:13	     5.362 MHz	 10.7 V/m	-19.2 dBm	OK
19/07/2017 11:06:17	     5.388 MHz	 10.7 V/m	-19.2 dBm	OK
19/07/2017 11:06:20	     5.415 MHz	 10.7 V/m	-19.2 dBm	OK
19/07/2017 11:06:23	     5.442 MHz	 10.7 V/m	-19.2 dBm	OK
19/07/2017 11:06:27	     5.470 MHz	 10.7 V/m	-19.2 dBm	OK
19/07/2017 11:06:30	     5.497 MHz	 11.0 V/m	-19.2 dBm	OK
19/07/2017 11:06:34	     5.524 MHz	 11.0 V/m	-19.2 dBm	OK
19/07/2017 11:06:38	     5.552 MHz	 11.0 V/m	-19.2 dBm	OK
19/07/2017 11:06:42	     5.580 MHz	 11.0 V/m	-19.2 dBm	OK
19/07/2017 11:06:45	     5.608 MHz	 11.0 V/m	-19.2 dBm	OK
19/07/2017 11:06:49	     5.636 MHz	 11.0 V/m	-19.2 dBm	OK
19/07/2017 11:06:52	     5.664 MHz	 11.0 V/m	-19.2 dBm	OK
19/07/2017 11:06:55	     5.692 MHz	 11.0 V/m	-19.2 dBm	OK
19/07/2017 11:06:58	     5.721 MHz	 11.2 V/m	-19.2 dBm	OK
19/07/2017 11:07:01	     5.749 MHz	 11.0 V/m	-19.2 dBm	OK
19/07/2017 11:07:05	     5.778 MHz	 11.0 V/m	-19.2 dBm	OK
19/07/2017 11:07:08	     5.807 MHz	 11.2 V/m	-19.2 dBm	OK
19/07/2017 11:07:11	     5.836 MHz	 11.2 V/m	-19.2 dBm	OK
19/07/2017 11:07:15	     5.865 MHz	 11.2 V/m	-19.2 dBm	OK
19/07/2017 11:07:18	     5.895 MHz	 11.2 V/m	-19.2 dBm	OK
19/07/2017 11:07:21	     5.924 MHz	 11.0 V/m	-19.2 dBm	OK
19/07/2017 11:07:24	     5.954 MHz	 11.0 V/m	-19.2 dBm	OK
19/07/2017 11:07:27	     5.983 MHz	 11.2 V/m	-19.2 dBm	OK
19/07/2017 11:07:31	     6.013 MHz	 11.0 V/m	-19.2 dBm	OK
19/07/2017 11:07:34	     6.043 MHz	 11.0 V/m	-19.2 dBm	OK
19/07/2017 11:07:38	     6.074 MHz	 11.0 V/m	-19.2 dBm	OK
19/07/2017 11:07:42	     6.104 MHz	 11.0 V/m	-19.2 dBm	OK
19/07/2017 11:07:46	     6.134 MHz	 11.0 V/m	-19.2 dBm	OK
19/07/2017 11:07:50	     6.165 MHz	 10.7 V/m	-19.2 dBm	OK
19/07/2017 11:07:53	     6.196 MHz	 10.7 V/m	-19.2 dBm	OK
19/07/2017 11:07:56	     6.227 MHz	 10.7 V/m	-19.2 dBm	OK
19/07/2017 11:07:59	     6.258 MHz	 10.7 V/m	-19.2 dBm	OK
19/07/2017 11:08:03	     6.289 MHz	 10.7 V/m	-19.2 dBm	OK
19/07/2017 11:08:06	     6.321 MHz	 10.7 V/m	-19.2 dBm	OK
19/07/2017 11:08:09	     6.352 MHz	 10.5 V/m	-19.2 dBm	OK
19/07/2017 11:08:12	     6.384 MHz	 10.7 V/m	-19.2 dBm	OK
19/07/2017 11:08:15	     6.416 MHz	 10.4 V/m	-19.2 dBm	OK
19/07/2017 11:08:18	     6.448 MHz	 10.4 V/m	-19.2 dBm	OK
19/07/2017 11:08:22	     6.480 MHz	 10.5 V/m	-19.2 dBm	OK
19/07/2017 11:08:26	     6.513 MHz	 10.4 V/m	-19.2 dBm	OK
19/07/2017 11:08:29	     6.545 MHz	 10.4 V/m	-19.2 dBm	OK
19/07/2017 11:08:32	     6.578 MHz	 10.4 V/m	-19.2 dBm	OK
19/07/2017 11:08:36	     6.611 MHz	 10.4 V/m	-19.2 dBm	OK
19/07/2017 11:08:40	     6.644 MHz	 10.5 V/m	-19.0 dBm	OK
19/07/2017 11:08:43	     6.677 MHz	 10.4 V/m	-19.0 dBm	OK
19/07/2017 11:08:47	     6.711 MHz	 10.4 V/m	-19.0 dBm	OK
19/07/2017 11:08:51	     6.744 MHz	 10.4 V/m	-19.0 dBm	OK
19/07/2017 11:08:57	     6.778 MHz	 10.5 V/m	-18.6 dBm	OK
19/07/2017 11:09:01	     6.812 MHz	 10.5 V/m	-18.6 dBm	OK
19/07/2017 11:09:04	     6.846 MHz	 10.5 V/m	-18.6 dBm	OK
19/07/2017 11:09:08	     6.880 MHz	 10.4 V/m	-18.6 dBm	OK
19/07/2017 11:09:12	     6.915 MHz	 10.5 V/m	-18.6 dBm	OK
19/07/2017 11:09:15	     6.949 MHz	 10.4 V/m	-18.6 dBm	OK
19/07/2017 11:09:19	     6.984 MHz	 10.4 V/m	-18.6 dBm	OK
19/07/2017 11:09:23	     7.019 MHz	 10.5 V/m	-18.4 dBm	OK
19/07/2017 11:09:26	     7.054 MHz	 10.5 V/m	-18.4 dBm	OK
19/07/2017 11:09:29	     7.089 MHz	 10.5 V/m	-18.4 dBm	OK
19/07/2017 11:09:32	     7.125 MHz	 10.5 V/m	-18.4 dBm	OK
19/07/2017 11:09:35	     7.160 MHz	 10.4 V/m	-18.4 dBm	OK
19/07/2017 11:09:39	     7.196 MHz	 10.4 V/m	-18.4 dBm	OK
