21/10/2015 14:29:25	   253.000 MHz	  6.8 V/m	-21.3 dBm	OK	IP0: 18964	(4.43 V/m)	Digital: 0XFF
21/10/2015 14:29:30	   254.265 MHz	  6.8 V/m	-21.2 dBm	OK	IP0: 18629	(4.61 V/m)	Digital: 0XFF
21/10/2015 14:29:36	   255.536 MHz	  6.5 V/m	-21.6 dBm	OK	IP0: 17941	(4.51 V/m)	Digital: 0XFF
21/10/2015 14:29:40	   256.814 MHz	  7.4 V/m	-21.6 dBm	OK	IP0: 17950	(4.69 V/m)	Digital: 0XFF
21/10/2015 14:29:44	   258.098 MHz	  8.0 V/m	-22.4 dBm	OK	IP0: 17572	(4.52 V/m)	Digital: 0XFF
21/10/2015 14:29:50	   259.389 MHz	  7.6 V/m	-22.8 dBm	OK	IP0: 17473	(4.52 V/m)	Digital: 0XFF
21/10/2015 14:29:55	   260.686 MHz	  8.1 V/m	-22.7 dBm	OK	IP0: 17450	(4.58 V/m)	Digital: 0XFF
21/10/2015 14:30:01	   261.989 MHz	  8.3 V/m	-22.7 dBm	OK	IP0: 17237	(4.57 V/m)	Digital: 0XFF
21/10/2015 14:30:06	   263.299 MHz	  8.8 V/m	-22.7 dBm	OK	IP0: 17182	(4.63 V/m)	Digital: 0XFF
21/10/2015 14:30:12	   264.615 MHz	  8.7 V/m	-23.4 dBm	OK	IP0: 16759	(4.51 V/m)	Digital: 0XFF
21/10/2015 14:30:16	   265.938 MHz	  9.7 V/m	-24.1 dBm	OK	IP0: 16456	(4.51 V/m)	Digital: 0XFF
21/10/2015 14:30:22	   267.268 MHz	  8.4 V/m	-24.5 dBm	OK	IP0: 16157	(4.51 V/m)	Digital: 0XFF
21/10/2015 14:30:27	   268.604 MHz	  8.3 V/m	-24.5 dBm	OK	IP0: 16191	(4.54 V/m)	Digital: 0XFF
21/10/2015 14:30:33	   269.948 MHz	  8.1 V/m	-24.3 dBm	OK	IP0: 16310	(4.53 V/m)	Digital: 0XFF
21/10/2015 14:30:38	   271.297 MHz	  7.9 V/m	-23.9 dBm	OK	IP0: 16531	(4.53 V/m)	Digital: 0XFF
21/10/2015 14:30:43	   272.654 MHz	  7.7 V/m	-23.9 dBm	OK	IP0: 16664	(4.55 V/m)	Digital: 0XFF
21/10/2015 14:30:49	   274.017 MHz	  7.4 V/m	-23.9 dBm	OK	IP0: 16786	(4.66 V/m)	Digital: 0XFF
21/10/2015 14:30:54	   275.387 MHz	  7.1 V/m	-23.9 dBm	OK	IP0: 16836	(4.65 V/m)	Digital: 0XFF
21/10/2015 14:30:59	   276.764 MHz	  6.8 V/m	-23.7 dBm	OK	IP0: 16820	(4.56 V/m)	Digital: 0XFF
21/10/2015 14:31:05	   278.148 MHz	  6.8 V/m	-23.1 dBm	OK	IP0: 17101	(4.53 V/m)	Digital: 0XFF
21/10/2015 14:31:10	   279.539 MHz	  6.9 V/m	-22.7 dBm	OK	IP0: 17430	(4.55 V/m)	Digital: 0XFF
21/10/2015 14:31:15	   280.936 MHz	  6.8 V/m	-22.7 dBm	OK	IP0: 17569	(4.58 V/m)	Digital: 0XFF
21/10/2015 14:31:21	   282.341 MHz	  6.8 V/m	-22.7 dBm	OK	IP0: 17697	(4.67 V/m)	Digital: 0XFF
21/10/2015 14:31:26	   283.753 MHz	  6.4 V/m	-22.7 dBm	OK	IP0: 17565	(4.60 V/m)	Digital: 0XFF
21/10/2015 14:31:31	   285.171 MHz	  6.1 V/m	-22.5 dBm	OK	IP0: 17554	(4.56 V/m)	Digital: 0XFF
21/10/2015 14:31:37	   286.597 MHz	  5.8 V/m	-22.5 dBm	OK	IP0: 17534	(4.59 V/m)	Digital: 0XFF
21/10/2015 14:31:42	   288.030 MHz	  5.6 V/m	-22.9 dBm	OK	IP0: 17442	(4.51 V/m)	Digital: 0XFF
21/10/2015 14:31:48	   289.470 MHz	  5.4 V/m	-23.2 dBm	OK	IP0: 17492	(4.54 V/m)	Digital: 0XFF
21/10/2015 14:31:54	   290.918 MHz	  5.2 V/m	-23.2 dBm	OK	IP0: 17513	(4.59 V/m)	Digital: 0XFF
21/10/2015 14:31:59	   292.372 MHz	  4.9 V/m	-22.9 dBm	OK	IP0: 17620	(4.58 V/m)	Digital: 0XFF
21/10/2015 14:32:04	   293.834 MHz	  4.8 V/m	-22.6 dBm	OK	IP0: 17901	(4.56 V/m)	Digital: 0XFF
21/10/2015 14:32:10	   295.303 MHz	  4.8 V/m	-22.5 dBm	OK	IP0: 18264	(4.61 V/m)	Digital: 0XFF
21/10/2015 14:32:15	   296.780 MHz	  4.7 V/m	-22.9 dBm	OK	IP0: 18236	(4.54 V/m)	Digital: 0XFF
21/10/2015 14:32:21	   298.264 MHz	  4.5 V/m	-22.9 dBm	OK	IP0: 18094	(4.61 V/m)	Digital: 0XFF
21/10/2015 14:32:26	   299.755 MHz	  4.3 V/m	-22.8 dBm	OK	IP0: 17889	(4.58 V/m)	Digital: 0XFF
