26/02/2018 11:48:01	    15.000 MHz	 11.7 V/m	-12.0 dBm	OK
26/02/2018 11:48:05	    15.075 MHz	 12.5 V/m	-12.1 dBm	OK
26/02/2018 11:48:09	    15.150 MHz	 12.3 V/m	-12.1 dBm	OK
26/02/2018 11:48:13	    15.226 MHz	 12.5 V/m	-12.2 dBm	OK
26/02/2018 11:48:17	    15.302 MHz	 11.4 V/m	-12.2 dBm	OK
26/02/2018 11:48:21	    15.379 MHz	 11.4 V/m	-12.2 dBm	OK
26/02/2018 11:48:25	    15.456 MHz	 11.4 V/m	-13.0 dBm	OK
26/02/2018 11:48:28	    15.533 MHz	 11.4 V/m	-13.0 dBm	OK
26/02/2018 11:48:32	    15.611 MHz	 11.9 V/m	-13.4 dBm	OK
26/02/2018 11:48:36	    15.689 MHz	 11.7 V/m	-13.5 dBm	OK
26/02/2018 11:48:40	    15.767 MHz	 12.3 V/m	-13.7 dBm	OK
26/02/2018 11:48:43	    15.846 MHz	 12.5 V/m	-13.7 dBm	OK
26/02/2018 11:48:46	    15.925 MHz	 12.5 V/m	-13.7 dBm	OK
26/02/2018 11:48:50	    16.005 MHz	 12.5 V/m	-13.7 dBm	OK
26/02/2018 11:48:55	    16.085 MHz	 11.4 V/m	-13.5 dBm	OK
26/02/2018 11:49:03	    16.165 MHz	 11.9 V/m	-13.0 dBm	OK
26/02/2018 11:49:08	    16.246 MHz	 11.7 V/m	-13.0 dBm	OK
26/02/2018 11:49:12	    16.327 MHz	 11.7 V/m	-13.0 dBm	OK
26/02/2018 11:49:17	    16.409 MHz	 12.5 V/m	-12.4 dBm	OK
26/02/2018 11:49:27	    16.491 MHz	 12.5 V/m	-11.7 dBm	OK
26/02/2018 11:49:32	    16.573 MHz	 12.5 V/m	-11.5 dBm	OK
26/02/2018 11:49:38	    16.656 MHz	 11.4 V/m	-11.9 dBm	OK
26/02/2018 11:49:45	    16.740 MHz	 11.7 V/m	-11.2 dBm	OK
26/02/2018 11:49:49	    16.823 MHz	 11.4 V/m	-11.0 dBm	OK
26/02/2018 11:50:03	    16.907 MHz	 11.4 V/m	-10.6 dBm	OK
26/02/2018 11:50:06	    16.992 MHz	 11.4 V/m	-10.6 dBm	OK
26/02/2018 11:50:09	    17.077 MHz	 11.7 V/m	-10.6 dBm	OK
26/02/2018 11:50:17	    17.162 MHz	 12.5 V/m	-10.3 dBm	OK
26/02/2018 11:50:21	    17.248 MHz	 11.4 V/m	-10.5 dBm	OK
26/02/2018 11:50:25	    17.334 MHz	 11.4 V/m	-10.3 dBm	OK
26/02/2018 11:50:29	    17.421 MHz	 12.5 V/m	-10.3 dBm	OK
26/02/2018 11:50:35	    17.508 MHz	 12.3 V/m	-10.1 dBm	OK
26/02/2018 11:50:39	    17.596 MHz	 12.5 V/m	-10.5 dBm	OK
26/02/2018 11:50:43	    17.684 MHz	 11.4 V/m	-10.1 dBm	OK
26/02/2018 11:50:47	    17.772 MHz	 11.4 V/m	-10.2 dBm	OK
26/02/2018 11:50:51	    17.861 MHz	 12.5 V/m	-10.2 dBm	OK
26/02/2018 11:50:56	    17.950 MHz	 11.2 V/m	 -9.9 dBm	OK
26/02/2018 11:51:00	    18.040 MHz	 11.4 V/m	 -9.8 dBm	OK
26/02/2018 11:51:03	    18.130 MHz	 11.9 V/m	 -9.8 dBm	OK
26/02/2018 11:51:07	    18.221 MHz	 11.7 V/m	 -9.8 dBm	OK
26/02/2018 11:51:09	    18.312 MHz	 11.7 V/m	 -9.9 dBm	FAIL (LIMIT)
26/02/2018 11:51:13	    18.403 MHz	 10.0 V/m	-10.0 dBm	FAIL (LIMIT)
26/02/2018 11:51:17	    18.495 MHz	 10.0 V/m	-10.0 dBm	FAIL (LIMIT)
26/02/2018 11:51:20	    18.588 MHz	  9.3 V/m	-10.0 dBm	FAIL (LIMIT)
26/02/2018 11:51:25	    18.681 MHz	  8.9 V/m	-10.1 dBm	FAIL (LIMIT)
26/02/2018 11:51:28	    18.774 MHz	  8.5 V/m	-10.1 dBm	FAIL (LIMIT)
26/02/2018 11:51:32	    18.868 MHz	  8.5 V/m	-10.1 dBm	FAIL (LIMIT)
26/02/2018 11:51:35	    18.963 MHz	  8.2 V/m	-10.2 dBm	FAIL (LIMIT)
26/02/2018 11:51:38	    19.057 MHz	  7.5 V/m	-10.1 dBm	FAIL (LIMIT)
26/02/2018 11:51:43	    19.153 MHz	  7.5 V/m	 -9.9 dBm	FAIL (LIMIT)
26/02/2018 11:51:48	    19.248 MHz	  7.2 V/m	 -9.7 dBm	FAIL (LIMIT)
26/02/2018 11:51:52	    19.345 MHz	  7.2 V/m	 -9.4 dBm	FAIL (LIMIT)
26/02/2018 11:51:56	    19.441 MHz	  7.3 V/m	 -9.2 dBm	FAIL (LIMIT)
26/02/2018 11:52:00	    19.539 MHz	  7.3 V/m	 -9.0 dBm	FAIL (LIMIT)
26/02/2018 11:52:04	    19.636 MHz	  7.5 V/m	 -8.8 dBm	FAIL (LIMIT)
26/02/2018 11:52:08	    19.734 MHz	  7.6 V/m	 -8.6 dBm	FAIL (LIMIT)
26/02/2018 11:52:12	    19.833 MHz	  7.8 V/m	 -8.4 dBm	FAIL (LIMIT)
26/02/2018 11:52:16	    19.932 MHz	  8.0 V/m	 -8.1 dBm	FAIL (LIMIT)
26/02/2018 11:52:20	    20.032 MHz	  8.5 V/m	 -8.0 dBm	FAIL (LIMIT)
26/02/2018 11:52:23	    20.132 MHz	  8.7 V/m	 -8.1 dBm	FAIL (LIMIT)
26/02/2018 11:52:26	    20.233 MHz	  8.9 V/m	 -8.1 dBm	FAIL (LIMIT)
26/02/2018 11:52:29	    20.334 MHz	  9.0 V/m	 -8.1 dBm	FAIL (LIMIT)
26/02/2018 11:52:33	    20.436 MHz	  9.3 V/m	 -8.2 dBm	FAIL (LIMIT)
26/02/2018 11:52:37	    20.538 MHz	  9.7 V/m	 -8.2 dBm	FAIL (LIMIT)
26/02/2018 11:52:41	    20.640 MHz	  9.9 V/m	 -8.3 dBm	FAIL (LIMIT)
26/02/2018 11:52:44	    20.744 MHz	 10.4 V/m	 -8.3 dBm	FAIL (LIMIT)
26/02/2018 11:52:48	    20.847 MHz	 10.5 V/m	 -8.3 dBm	FAIL (LIMIT)
26/02/2018 11:52:51	    20.952 MHz	 11.0 V/m	 -8.4 dBm	FAIL (LIMIT)
26/02/2018 11:52:57	    21.056 MHz	 11.4 V/m	 -8.4 dBm	OK
26/02/2018 11:53:00	    21.162 MHz	 11.4 V/m	 -8.4 dBm	OK
26/02/2018 11:53:04	    21.267 MHz	 11.4 V/m	 -8.4 dBm	OK
26/02/2018 11:53:04	    21.374 MHz	 11.4 V/m	 -9.0 dBm	FAIL (LIMIT)
26/02/2018 11:53:07	    21.481 MHz	 11.2 V/m	 -9.1 dBm	FAIL (LIMIT)
26/02/2018 11:53:12	    21.588 MHz	 10.0 V/m	 -9.3 dBm	FAIL (LIMIT)
26/02/2018 11:53:15	    21.696 MHz	  9.7 V/m	 -9.4 dBm	FAIL (LIMIT)
26/02/2018 11:53:18	    21.804 MHz	  9.3 V/m	 -9.6 dBm	FAIL (LIMIT)
26/02/2018 11:53:22	    21.914 MHz	  8.9 V/m	 -9.8 dBm	FAIL (LIMIT)
26/02/2018 11:53:25	    22.023 MHz	  8.5 V/m	 -9.9 dBm	FAIL (LIMIT)
26/02/2018 11:53:30	    22.133 MHz	  8.2 V/m	 -9.7 dBm	FAIL (LIMIT)
26/02/2018 11:53:34	    22.244 MHz	  8.2 V/m	 -9.5 dBm	FAIL (LIMIT)
26/02/2018 11:53:38	    22.355 MHz	  8.2 V/m	 -9.3 dBm	FAIL (LIMIT)
