27/11/2015 10:49:46	    99.136 MHz	 -1.0 V/m	 -8.8 dBm	OK	IP0: 29354	(11.56 V/m)	Digital: 0XFF
27/11/2015 10:49:50	    99.632 MHz	 -1.0 V/m	 -8.8 dBm	OK	IP0: 29444	(11.60 V/m)	Digital: 0XFF
27/11/2015 10:49:54	   100.130 MHz	 -1.0 V/m	 -9.0 dBm	OK	IP0: 29416	(11.45 V/m)	Digital: 0XFF
27/11/2015 10:49:58	   100.630 MHz	 -1.0 V/m	 -9.2 dBm	OK	IP0: 29357	(11.46 V/m)	Digital: 0XFF
27/11/2015 10:50:02	   101.133 MHz	 -1.0 V/m	 -9.4 dBm	OK	IP0: 29300	(11.47 V/m)	Digital: 0XFF
27/11/2015 10:50:06	   101.639 MHz	 -1.0 V/m	 -9.6 dBm	OK	IP0: 29238	(11.48 V/m)	Digital: 0XFF
27/11/2015 10:50:10	   102.147 MHz	 -1.0 V/m	 -9.7 dBm	OK	IP0: 29183	(11.48 V/m)	Digital: 0XFF
27/11/2015 10:50:14	   102.658 MHz	 -1.0 V/m	 -9.9 dBm	OK	IP0: 29146	(11.47 V/m)	Digital: 0XFF
27/11/2015 10:50:18	   103.171 MHz	 -1.0 V/m	-10.1 dBm	OK	IP0: 29114	(11.51 V/m)	Digital: 0XFF
27/11/2015 10:50:22	   103.687 MHz	 -1.0 V/m	-10.3 dBm	OK	IP0: 29052	(11.53 V/m)	Digital: 0XFF
27/11/2015 10:50:26	   104.206 MHz	 -1.0 V/m	-10.4 dBm	OK	IP0: 28993	(11.51 V/m)	Digital: 0XFF
27/11/2015 10:50:30	   104.727 MHz	 -1.0 V/m	-10.4 dBm	OK	IP0: 28976	(11.45 V/m)	Digital: 0XFF
27/11/2015 10:50:34	   105.250 MHz	 -1.0 V/m	-10.4 dBm	OK	IP0: 28971	(11.45 V/m)	Digital: 0XFF
27/11/2015 10:50:38	   105.777 MHz	 -1.0 V/m	-10.4 dBm	OK	IP0: 28982	(11.44 V/m)	Digital: 0XFF
27/11/2015 10:50:42	   106.305 MHz	 -1.0 V/m	-10.3 dBm	OK	IP0: 28990	(11.43 V/m)	Digital: 0XFF
27/11/2015 10:50:46	   106.837 MHz	 -1.0 V/m	-10.3 dBm	OK	IP0: 29004	(11.45 V/m)	Digital: 0XFF
27/11/2015 10:50:50	   107.371 MHz	 -1.0 V/m	-10.4 dBm	OK	IP0: 28985	(11.45 V/m)	Digital: 0XFF
27/11/2015 10:50:54	   107.908 MHz	 -1.0 V/m	-10.4 dBm	OK	IP0: 28974	(11.44 V/m)	Digital: 0XFF
27/11/2015 10:50:58	   108.448 MHz	 -1.0 V/m	-10.3 dBm	OK	IP0: 28964	(11.42 V/m)	Digital: 0XFF
27/11/2015 10:51:02	   108.990 MHz	 -1.0 V/m	-10.3 dBm	OK	IP0: 28984	(11.42 V/m)	Digital: 0XFF
27/11/2015 10:51:06	   109.535 MHz	 -1.0 V/m	-10.3 dBm	OK	IP0: 28995	(11.43 V/m)	Digital: 0XFF
27/11/2015 10:51:10	   110.082 MHz	 -1.0 V/m	-10.2 dBm	OK	IP0: 28975	(11.43 V/m)	Digital: 0XFF
27/11/2015 10:51:14	   110.633 MHz	 -1.0 V/m	-10.0 dBm	OK	IP0: 29024	(11.57 V/m)	Digital: 0XFF
27/11/2015 10:51:18	   111.186 MHz	 -1.0 V/m	-10.0 dBm	OK	IP0: 28940	(11.41 V/m)	Digital: 0XFF
27/11/2015 10:51:22	   111.742 MHz	 -1.0 V/m	 -9.7 dBm	OK	IP0: 29006	(11.54 V/m)	Digital: 0XFF
27/11/2015 10:51:26	   112.301 MHz	 -1.0 V/m	 -9.7 dBm	OK	IP0: 28938	(11.43 V/m)	Digital: 0XFF
27/11/2015 10:51:30	   112.862 MHz	 -1.0 V/m	 -9.7 dBm	OK	IP0: 28844	(11.42 V/m)	Digital: 0XFF
27/11/2015 10:51:34	   113.426 MHz	 -1.0 V/m	 -9.6 dBm	OK	IP0: 28829	(11.59 V/m)	Digital: 0XFF
27/11/2015 10:51:38	   113.994 MHz	 -1.0 V/m	 -9.5 dBm	OK	IP0: 28761	(11.60 V/m)	Digital: 0XFF
27/11/2015 10:51:42	   114.564 MHz	 -1.0 V/m	 -9.7 dBm	OK	IP0: 28622	(11.41 V/m)	Digital: 0XFF
27/11/2015 10:51:46	   115.136 MHz	 -1.0 V/m	 -9.7 dBm	OK	IP0: 28599	(11.56 V/m)	Digital: 0XFF
27/11/2015 10:51:50	   115.712 MHz	 -1.0 V/m	 -9.7 dBm	OK	IP0: 28497	(11.59 V/m)	Digital: 0XFF
27/11/2015 10:51:54	   116.291 MHz	 -1.0 V/m	 -9.8 dBm	OK	IP0: 28414	(11.58 V/m)	Digital: 0XFF
