15/02/2016 16:30:32	     0.860 MHz	 11.2 V/m	-17.3 dBm	OK
15/02/2016 16:30:36	     0.870 MHz	 11.4 V/m	-17.3 dBm	OK
15/02/2016 16:30:39	     0.880 MHz	 11.4 V/m	-17.3 dBm	OK
15/02/2016 16:30:43	     0.890 MHz	 11.4 V/m	-17.4 dBm	OK
15/02/2016 16:30:46	     0.900 MHz	 11.4 V/m	-17.4 dBm	OK
15/02/2016 16:30:50	     0.910 MHz	 11.4 V/m	-17.6 dBm	OK
15/02/2016 16:30:53	     0.920 MHz	 11.4 V/m	-17.6 dBm	OK
15/02/2016 16:30:56	     0.930 MHz	 11.4 V/m	-17.6 dBm	OK
15/02/2016 16:31:00	     0.940 MHz	 11.4 V/m	-17.7 dBm	OK
15/02/2016 16:31:03	     0.950 MHz	 11.4 V/m	-17.7 dBm	OK
15/02/2016 16:31:07	     0.960 MHz	 11.4 V/m	-17.9 dBm	OK
15/02/2016 16:31:10	     0.970 MHz	 11.4 V/m	-17.9 dBm	OK
15/02/2016 16:31:14	     0.980 MHz	 11.4 V/m	-18.0 dBm	OK
15/02/2016 16:31:17	     0.990 MHz	 11.4 V/m	-18.0 dBm	OK
15/02/2016 16:31:21	     1.000 MHz	 11.4 V/m	-18.2 dBm	OK
