20/10/2017 09:53:23	     0.150 MHz	 11.0 V/m	-13.4 dBm	OK
20/10/2017 09:53:28	     0.165 MHz	 11.2 V/m	-13.8 dBm	OK
20/10/2017 09:53:33	     0.180 MHz	 11.2 V/m	-14.2 dBm	OK
20/10/2017 09:53:38	     0.195 MHz	 11.2 V/m	-14.6 dBm	OK
20/10/2017 09:53:43	     0.210 MHz	 11.2 V/m	-15.0 dBm	OK
20/10/2017 09:53:47	     0.225 MHz	 11.2 V/m	-15.2 dBm	OK
20/10/2017 09:53:51	     0.240 MHz	 11.2 V/m	-15.5 dBm	OK
20/10/2017 09:53:55	     0.255 MHz	 11.2 V/m	-15.6 dBm	OK
20/10/2017 09:53:59	     0.270 MHz	 11.2 V/m	-15.9 dBm	OK
20/10/2017 09:54:02	     0.285 MHz	 11.2 V/m	-15.9 dBm	OK
20/10/2017 09:54:06	     0.300 MHz	 11.2 V/m	-16.1 dBm	OK
20/10/2017 09:54:10	     0.315 MHz	 11.2 V/m	-16.3 dBm	OK
20/10/2017 09:54:14	     0.330 MHz	 11.2 V/m	-16.3 dBm	OK
20/10/2017 09:54:17	     0.345 MHz	 11.2 V/m	-16.3 dBm	OK
20/10/2017 09:54:21	     0.360 MHz	 11.2 V/m	-16.4 dBm	OK
20/10/2017 09:54:25	     0.375 MHz	 11.0 V/m	-16.6 dBm	OK
20/10/2017 09:54:28	     0.390 MHz	 11.2 V/m	-16.6 dBm	OK
20/10/2017 09:54:31	     0.405 MHz	 11.2 V/m	-16.6 dBm	OK
20/10/2017 09:54:34	     0.420 MHz	 11.2 V/m	-16.6 dBm	OK
20/10/2017 09:54:37	     0.435 MHz	 11.2 V/m	-16.6 dBm	OK
20/10/2017 09:54:41	     0.450 MHz	 11.2 V/m	-16.6 dBm	OK
20/10/2017 09:54:44	     0.465 MHz	 11.2 V/m	-16.6 dBm	OK
20/10/2017 09:54:47	     0.480 MHz	 11.2 V/m	-16.6 dBm	OK
20/10/2017 09:54:50	     0.495 MHz	 11.2 V/m	-16.6 dBm	OK
20/10/2017 09:54:54	     0.510 MHz	 11.2 V/m	-16.6 dBm	OK
20/10/2017 09:54:57	     0.525 MHz	 11.2 V/m	-16.6 dBm	OK
20/10/2017 09:55:00	     0.540 MHz	 11.2 V/m	-16.6 dBm	OK
20/10/2017 09:55:03	     0.555 MHz	 11.2 V/m	-16.6 dBm	OK
20/10/2017 09:55:06	     0.570 MHz	 11.2 V/m	-16.6 dBm	OK
20/10/2017 09:55:09	     0.585 MHz	 11.2 V/m	-16.6 dBm	OK
20/10/2017 09:55:12	     0.600 MHz	 11.2 V/m	-16.6 dBm	OK
20/10/2017 09:55:15	     0.615 MHz	 11.2 V/m	-16.6 dBm	OK
20/10/2017 09:55:19	     0.630 MHz	 11.2 V/m	-16.6 dBm	OK
20/10/2017 09:55:22	     0.645 MHz	 11.0 V/m	-16.6 dBm	OK
20/10/2017 09:55:25	     0.660 MHz	 11.0 V/m	-16.6 dBm	OK
20/10/2017 09:55:28	     0.675 MHz	 11.0 V/m	-16.6 dBm	OK
20/10/2017 09:55:31	     0.690 MHz	 11.0 V/m	-16.6 dBm	OK
20/10/2017 09:55:34	     0.705 MHz	 11.0 V/m	-16.6 dBm	OK
20/10/2017 09:55:37	     0.720 MHz	 11.0 V/m	-16.6 dBm	OK
20/10/2017 09:55:41	     0.735 MHz	 11.0 V/m	-16.5 dBm	OK
20/10/2017 09:55:44	     0.750 MHz	 11.0 V/m	-16.5 dBm	OK
20/10/2017 09:55:47	     0.765 MHz	 11.0 V/m	-16.5 dBm	OK
20/10/2017 09:55:51	     0.780 MHz	 11.2 V/m	-16.3 dBm	OK
20/10/2017 09:55:55	     0.795 MHz	 11.0 V/m	-16.3 dBm	OK
20/10/2017 09:55:58	     0.810 MHz	 11.0 V/m	-16.3 dBm	OK
20/10/2017 09:56:01	     0.825 MHz	 11.0 V/m	-16.3 dBm	OK
20/10/2017 09:56:04	     0.840 MHz	 11.0 V/m	-16.3 dBm	OK
20/10/2017 09:56:07	     0.855 MHz	 11.0 V/m	-16.3 dBm	OK
20/10/2017 09:56:11	     0.870 MHz	 11.0 V/m	-16.3 dBm	OK
20/10/2017 09:56:15	     0.885 MHz	 11.2 V/m	-16.1 dBm	OK
20/10/2017 09:56:18	     0.900 MHz	 11.0 V/m	-16.1 dBm	OK
20/10/2017 09:56:21	     0.915 MHz	 11.0 V/m	-16.1 dBm	OK
20/10/2017 09:56:25	     0.930 MHz	 11.0 V/m	-16.1 dBm	OK
20/10/2017 09:56:28	     0.945 MHz	 11.0 V/m	-16.1 dBm	OK
20/10/2017 09:56:32	     0.960 MHz	 11.0 V/m	-16.1 dBm	OK
20/10/2017 09:56:36	     0.975 MHz	 11.0 V/m	-16.0 dBm	OK
20/10/2017 09:56:39	     0.990 MHz	 11.0 V/m	-16.0 dBm	OK
20/10/2017 09:56:42	     1.000 MHz	 11.0 V/m	-16.0 dBm	OK
