07/03/2017 09:41:29	     0.150 MHz	 10.5 V/m	 -9.6 dBm	OK
07/03/2017 09:41:32	     0.160 MHz	 11.2 V/m	 -9.6 dBm	OK
07/03/2017 09:41:36	     0.170 MHz	 11.4 V/m	-10.2 dBm	OK
07/03/2017 09:41:40	     0.180 MHz	 11.4 V/m	-10.8 dBm	OK
07/03/2017 09:41:45	     0.190 MHz	 11.4 V/m	-11.3 dBm	OK
07/03/2017 09:41:50	     0.200 MHz	 11.4 V/m	-11.8 dBm	OK
07/03/2017 09:41:54	     0.210 MHz	 11.4 V/m	-12.2 dBm	OK
07/03/2017 09:41:58	     0.220 MHz	 11.4 V/m	-12.6 dBm	OK
07/03/2017 09:42:02	     0.230 MHz	 11.4 V/m	-13.0 dBm	OK
07/03/2017 09:42:06	     0.240 MHz	 11.4 V/m	-13.2 dBm	OK
07/03/2017 09:42:10	     0.250 MHz	 11.2 V/m	-13.7 dBm	OK
07/03/2017 09:42:13	     0.260 MHz	 11.4 V/m	-13.7 dBm	OK
07/03/2017 09:42:17	     0.270 MHz	 11.2 V/m	-14.2 dBm	OK
07/03/2017 09:42:20	     0.280 MHz	 11.4 V/m	-14.2 dBm	OK
07/03/2017 09:42:24	     0.290 MHz	 11.4 V/m	-14.5 dBm	OK
07/03/2017 09:42:28	     0.300 MHz	 11.2 V/m	-14.7 dBm	OK
07/03/2017 09:42:31	     0.310 MHz	 11.4 V/m	-14.7 dBm	OK
07/03/2017 09:42:35	     0.320 MHz	 11.4 V/m	-14.9 dBm	OK
07/03/2017 09:42:39	     0.330 MHz	 11.4 V/m	-15.1 dBm	OK
07/03/2017 09:42:42	     0.340 MHz	 11.4 V/m	-15.1 dBm	OK
07/03/2017 09:42:46	     0.350 MHz	 11.4 V/m	-15.3 dBm	OK
07/03/2017 09:42:50	     0.360 MHz	 11.4 V/m	-15.4 dBm	OK
07/03/2017 09:42:54	     0.370 MHz	 11.4 V/m	-15.5 dBm	OK
07/03/2017 09:42:57	     0.380 MHz	 11.4 V/m	-15.5 dBm	OK
