12/10/2016 14:48:04	     0.150 MHz	 10.5 V/m	-13.3 dBm	OK
12/10/2016 14:48:09	     0.160 MHz	 11.4 V/m	-14.0 dBm	OK
12/10/2016 14:48:13	     0.170 MHz	 11.4 V/m	-14.3 dBm	OK
12/10/2016 14:48:18	     0.180 MHz	 11.2 V/m	-14.6 dBm	OK
12/10/2016 14:48:22	     0.190 MHz	 11.4 V/m	-14.8 dBm	OK
12/10/2016 14:48:26	     0.200 MHz	 11.4 V/m	-15.0 dBm	OK
12/10/2016 14:48:30	     0.210 MHz	 11.4 V/m	-15.2 dBm	OK
12/10/2016 14:48:34	     0.220 MHz	 11.4 V/m	-15.3 dBm	OK
12/10/2016 14:48:38	     0.230 MHz	 11.4 V/m	-15.6 dBm	OK
12/10/2016 14:48:42	     0.240 MHz	 11.4 V/m	-15.6 dBm	OK
12/10/2016 14:48:46	     0.250 MHz	 11.4 V/m	-15.8 dBm	OK
12/10/2016 14:48:50	     0.260 MHz	 11.4 V/m	-16.0 dBm	OK
12/10/2016 14:48:53	     0.270 MHz	 11.4 V/m	-16.0 dBm	OK
12/10/2016 14:48:57	     0.280 MHz	 11.4 V/m	-16.1 dBm	OK
12/10/2016 14:49:01	     0.290 MHz	 11.4 V/m	-16.2 dBm	OK
12/10/2016 14:49:05	     0.300 MHz	 11.4 V/m	-16.3 dBm	OK
12/10/2016 14:49:09	     0.310 MHz	 11.4 V/m	-16.4 dBm	OK
12/10/2016 14:49:13	     0.320 MHz	 11.4 V/m	-16.4 dBm	OK
12/10/2016 14:49:17	     0.330 MHz	 11.4 V/m	-16.5 dBm	OK
12/10/2016 14:49:20	     0.340 MHz	 11.4 V/m	-16.5 dBm	OK
12/10/2016 14:49:24	     0.350 MHz	 11.4 V/m	-16.7 dBm	OK
12/10/2016 14:49:27	     0.360 MHz	 11.4 V/m	-16.7 dBm	OK
12/10/2016 14:49:30	     0.370 MHz	 11.4 V/m	-16.7 dBm	OK
12/10/2016 14:49:33	     0.380 MHz	 11.4 V/m	-16.7 dBm	OK
12/10/2016 14:49:36	     0.390 MHz	 11.4 V/m	-16.7 dBm	OK
12/10/2016 14:49:39	     0.400 MHz	 11.4 V/m	-16.7 dBm	OK
12/10/2016 14:49:43	     0.410 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:49:46	     0.420 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:49:49	     0.430 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:49:52	     0.440 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:49:55	     0.450 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:49:58	     0.460 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:50:01	     0.470 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:50:04	     0.480 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:50:07	     0.490 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:50:10	     0.500 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:50:14	     0.510 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:50:17	     0.520 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:50:20	     0.530 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:50:24	     0.540 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:50:27	     0.550 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:50:31	     0.560 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:50:34	     0.570 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:50:37	     0.580 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:50:40	     0.590 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:50:43	     0.600 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:50:46	     0.610 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:50:49	     0.620 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:50:52	     0.630 MHz	 11.4 V/m	-16.8 dBm	OK
12/10/2016 14:50:55	     0.640 MHz	 11.2 V/m	-16.8 dBm	OK
12/10/2016 14:50:58	     0.650 MHz	 11.2 V/m	-16.8 dBm	OK
12/10/2016 14:51:02	     0.660 MHz	 11.2 V/m	-16.8 dBm	OK
12/10/2016 14:51:05	     0.670 MHz	 11.2 V/m	-16.8 dBm	OK
12/10/2016 14:51:09	     0.680 MHz	 11.2 V/m	-16.8 dBm	OK
12/10/2016 14:51:12	     0.690 MHz	 11.2 V/m	-16.8 dBm	OK
12/10/2016 14:51:15	     0.700 MHz	 11.2 V/m	-16.8 dBm	OK
12/10/2016 14:51:18	     0.710 MHz	 11.2 V/m	-16.8 dBm	OK
12/10/2016 14:51:21	     0.720 MHz	 11.2 V/m	-16.8 dBm	OK
12/10/2016 14:51:24	     0.730 MHz	 11.0 V/m	-16.8 dBm	OK
12/10/2016 14:51:27	     0.740 MHz	 11.0 V/m	-16.8 dBm	OK
12/10/2016 14:51:30	     0.750 MHz	 11.0 V/m	-16.8 dBm	OK
12/10/2016 14:51:33	     0.760 MHz	 11.0 V/m	-16.8 dBm	OK
12/10/2016 14:51:36	     0.770 MHz	 11.0 V/m	-16.8 dBm	OK
12/10/2016 14:51:40	     0.780 MHz	 11.0 V/m	-16.8 dBm	OK
12/10/2016 14:51:43	     0.790 MHz	 11.0 V/m	-16.8 dBm	OK
12/10/2016 14:51:46	     0.800 MHz	 11.0 V/m	-16.8 dBm	OK
12/10/2016 14:51:49	     0.810 MHz	 11.0 V/m	-16.8 dBm	OK
12/10/2016 14:51:52	     0.820 MHz	 10.7 V/m	-16.8 dBm	OK
12/10/2016 14:51:55	     0.830 MHz	 10.7 V/m	-16.8 dBm	OK
12/10/2016 14:51:58	     0.840 MHz	 10.7 V/m	-16.8 dBm	OK
12/10/2016 14:52:01	     0.850 MHz	 10.7 V/m	-16.8 dBm	OK
12/10/2016 14:52:04	     0.860 MHz	 10.7 V/m	-16.8 dBm	OK
12/10/2016 14:52:07	     0.870 MHz	 10.7 V/m	-16.8 dBm	OK
12/10/2016 14:52:11	     0.880 MHz	 10.7 V/m	-16.8 dBm	OK
12/10/2016 14:52:14	     0.890 MHz	 10.7 V/m	-16.8 dBm	OK
12/10/2016 14:52:18	     0.900 MHz	 10.5 V/m	-16.8 dBm	OK
