24/01/2017 13:37:17	     1.000 MHz	 10.4 V/m	-20.5 dBm	OK
24/01/2017 13:37:22	     1.010 MHz	 10.4 V/m	-19.8 dBm	OK
24/01/2017 13:37:26	     1.020 MHz	 10.5 V/m	-19.0 dBm	OK
24/01/2017 13:37:40	     1.030 MHz	 10.5 V/m	-18.2 dBm	OK
24/01/2017 13:37:44	     1.041 MHz	 11.0 V/m	-18.2 dBm	OK
24/01/2017 13:37:49	     1.051 MHz	 11.4 V/m	-19.0 dBm	OK
24/01/2017 13:37:52	     1.062 MHz	 10.7 V/m	-19.0 dBm	OK
24/01/2017 13:37:56	     1.072 MHz	 10.5 V/m	-18.4 dBm	OK
24/01/2017 13:38:00	     1.083 MHz	 11.2 V/m	-18.4 dBm	OK
24/01/2017 13:38:03	     1.094 MHz	 11.2 V/m	-18.4 dBm	OK
24/01/2017 13:38:13	     1.105 MHz	 10.5 V/m	-17.3 dBm	OK
24/01/2017 13:38:18	     1.116 MHz	 11.0 V/m	-18.1 dBm	OK
24/01/2017 13:38:22	     1.127 MHz	 10.7 V/m	-18.1 dBm	OK
24/01/2017 13:38:25	     1.138 MHz	 10.4 V/m	-18.1 dBm	OK
24/01/2017 13:38:29	     1.149 MHz	 10.4 V/m	-17.9 dBm	OK
24/01/2017 13:38:34	     1.161 MHz	 10.4 V/m	-17.5 dBm	OK
24/01/2017 13:38:38	     1.173 MHz	 10.5 V/m	-17.1 dBm	OK
24/01/2017 13:38:41	     1.184 MHz	 10.5 V/m	-17.1 dBm	OK
24/01/2017 13:38:45	     1.196 MHz	 10.5 V/m	-17.1 dBm	OK
24/01/2017 13:38:48	     1.208 MHz	 10.5 V/m	-17.1 dBm	OK
24/01/2017 13:38:51	     1.220 MHz	 10.4 V/m	-17.1 dBm	OK
24/01/2017 13:38:55	     1.232 MHz	 10.4 V/m	-16.9 dBm	OK
24/01/2017 13:38:58	     1.245 MHz	 10.4 V/m	-16.9 dBm	OK
24/01/2017 13:39:02	     1.257 MHz	 10.4 V/m	-16.9 dBm	OK
24/01/2017 13:39:06	     1.270 MHz	 10.4 V/m	-16.7 dBm	OK
24/01/2017 13:39:09	     1.282 MHz	 10.4 V/m	-16.7 dBm	OK
24/01/2017 13:39:13	     1.295 MHz	 10.4 V/m	-16.5 dBm	OK
24/01/2017 13:39:17	     1.308 MHz	 10.4 V/m	-16.5 dBm	OK
24/01/2017 13:39:21	     1.321 MHz	 10.4 V/m	-16.5 dBm	OK
24/01/2017 13:39:24	     1.335 MHz	 10.4 V/m	-16.5 dBm	OK
24/01/2017 13:39:27	     1.348 MHz	 10.4 V/m	-16.5 dBm	OK
24/01/2017 13:39:30	     1.361 MHz	 10.4 V/m	-16.5 dBm	OK
24/01/2017 13:39:33	     1.375 MHz	 10.4 V/m	-16.5 dBm	OK
