29/04/2015 09:49:56	   101.133 MHz	 V/m	 -8.4 dBm	OK	IP0: 28039	(11.15 V/m)	Digital: 0XFF
29/04/2015 09:50:00	   101.639 MHz	 V/m	 -8.5 dBm	OK	IP0: 28101	(11.11 V/m)	Digital: 0XFF
29/04/2015 09:50:04	   102.147 MHz	 V/m	 -8.5 dBm	OK	IP0: 28212	(11.17 V/m)	Digital: 0XFF
29/04/2015 09:50:08	   102.658 MHz	 V/m	 -8.6 dBm	OK	IP0: 28197	(11.12 V/m)	Digital: 0XFF
29/04/2015 09:50:11	   103.171 MHz	 V/m	 -8.6 dBm	OK	IP0: 28293	(11.17 V/m)	Digital: 0XFF
29/04/2015 09:50:15	   103.687 MHz	 V/m	 -8.6 dBm	OK	IP0: 28308	(11.14 V/m)	Digital: 0XFF
29/04/2015 09:50:18	   104.206 MHz	 V/m	 -8.5 dBm	OK	IP0: 28421	(11.14 V/m)	Digital: 0XFF
29/04/2015 09:50:21	   104.727 MHz	 V/m	 -8.5 dBm	OK	IP0: 28437	(10.84 V/m)	Digital: 0XFF
29/04/2015 09:50:24	   105.250 MHz	 V/m	 -8.5 dBm	OK	IP0: 28434	(10.84 V/m)	Digital: 0XFF
29/04/2015 09:50:27	   105.777 MHz	 V/m	 -8.5 dBm	OK	IP0: 28458	(10.80 V/m)	Digital: 0XFF
29/04/2015 09:50:30	   106.305 MHz	 V/m	 -8.5 dBm	OK	IP0: 28461	(10.82 V/m)	Digital: 0XFF
29/04/2015 09:50:34	   106.837 MHz	 V/m	 -8.5 dBm	OK	IP0: 28457	(11.09 V/m)	Digital: 0XFF
29/04/2015 09:50:37	   107.371 MHz	 V/m	 -8.4 dBm	OK	IP0: 28505	(11.15 V/m)	Digital: 0XFF
29/04/2015 09:50:40	   107.908 MHz	 V/m	 -8.4 dBm	OK	IP0: 28513	(10.82 V/m)	Digital: 0XFF
29/04/2015 09:50:43	   108.448 MHz	 V/m	 -8.4 dBm	OK	IP0: 28343	(11.00 V/m)	Digital: 0XFF
29/04/2015 09:50:47	   108.990 MHz	 V/m	 -8.6 dBm	OK	IP0: 28404	(11.20 V/m)	Digital: 0XFF
29/04/2015 09:50:50	   109.535 MHz	 V/m	 -8.6 dBm	OK	IP0: 28388	(11.11 V/m)	Digital: 0XFF
29/04/2015 09:50:54	   110.082 MHz	 V/m	 -8.9 dBm	OK	IP0: 28182	(11.12 V/m)	Digital: 0XFF
29/04/2015 09:50:57	   110.633 MHz	 V/m	 -8.9 dBm	OK	IP0: 28175	(10.96 V/m)	Digital: 0XFF
29/04/2015 09:51:00	   111.186 MHz	 V/m	 -8.9 dBm	OK	IP0: 28169	(11.12 V/m)	Digital: 0XFF
29/04/2015 09:51:04	   111.742 MHz	 V/m	 -9.1 dBm	OK	IP0: 28018	(11.16 V/m)	Digital: 0XFF
29/04/2015 09:51:07	   112.301 MHz	 V/m	 -9.1 dBm	OK	IP0: 27932	(11.10 V/m)	Digital: 0XFF
29/04/2015 09:51:10	   112.862 MHz	 V/m	 -9.1 dBm	OK	IP0: 27854	(11.07 V/m)	Digital: 0XFF
29/04/2015 09:51:13	   113.426 MHz	 V/m	 -9.1 dBm	OK	IP0: 27760	(11.05 V/m)	Digital: 0XFF
29/04/2015 09:51:16	   113.994 MHz	 V/m	 -9.1 dBm	OK	IP0: 27546	(10.99 V/m)	Digital: 0XFF
29/04/2015 09:51:19	   114.564 MHz	 V/m	 -9.0 dBm	OK	IP0: 27597	(11.04 V/m)	Digital: 0XFF
29/04/2015 09:51:22	   115.136 MHz	 V/m	 -9.0 dBm	OK	IP0: 27413	(10.94 V/m)	Digital: 0XFF
29/04/2015 09:51:25	   115.712 MHz	 V/m	 -8.9 dBm	OK	IP0: 27369	(10.97 V/m)	Digital: 0XFF
29/04/2015 09:51:28	   116.291 MHz	 V/m	 -8.9 dBm	OK	IP0: 27353	(10.90 V/m)	Digital: 0XFF
29/04/2015 09:51:31	   116.872 MHz	 V/m	 -9.0 dBm	OK	IP0: 27140	(11.16 V/m)	Digital: 0XFF
29/04/2015 09:51:34	   117.456 MHz	 V/m	 -9.2 dBm	OK	IP0: 27016	(11.18 V/m)	Digital: 0XFF
29/04/2015 09:51:38	   118.044 MHz	 V/m	 -9.4 dBm	OK	IP0: 26790	(11.14 V/m)	Digital: 0XFF
29/04/2015 09:51:42	   118.634 MHz	 V/m	 -9.7 dBm	OK	IP0: 26504	(11.13 V/m)	Digital: 0XFF
29/04/2015 09:51:45	   119.227 MHz	 V/m	 -9.8 dBm	OK	IP0: 26373	(11.19 V/m)	Digital: 0XFF
29/04/2015 09:51:49	   119.823 MHz	 V/m	-10.0 dBm	OK	IP0: 26160	(11.09 V/m)	Digital: 0XFF
29/04/2015 09:51:52	   120.422 MHz	 V/m	-10.1 dBm	OK	IP0: 25890	(10.96 V/m)	Digital: 0XFF
29/04/2015 09:51:55	   121.024 MHz	 V/m	-10.1 dBm	OK	IP0: 25831	(10.90 V/m)	Digital: 0XFF
29/04/2015 09:51:58	   121.630 MHz	 V/m	-10.1 dBm	OK	IP0: 25667	(11.00 V/m)	Digital: 0XFF
29/04/2015 09:52:01	   122.238 MHz	 V/m	-10.1 dBm	OK	IP0: 25482	(10.88 V/m)	Digital: 0XFF
29/04/2015 09:52:04	   122.849 MHz	 V/m	-10.0 dBm	OK	IP0: 25482	(11.13 V/m)	Digital: 0XFF
29/04/2015 09:52:07	   123.463 MHz	 V/m	-10.0 dBm	OK	IP0: 25494	(10.93 V/m)	Digital: 0XFF
29/04/2015 09:52:10	   124.080 MHz	 V/m	-10.0 dBm	OK	IP0: 25675	(11.09 V/m)	Digital: 0XFF
29/04/2015 09:52:14	   124.701 MHz	 V/m	-10.4 dBm	OK	IP0: 25495	(11.10 V/m)	Digital: 0XFF
29/04/2015 09:52:17	   125.324 MHz	 V/m	-10.4 dBm	OK	IP0: 25574	(10.80 V/m)	Digital: 0XFF
29/04/2015 09:52:20	   125.951 MHz	 V/m	-10.3 dBm	OK	IP0: 25740	(11.33 V/m)	Digital: 0XFF
29/04/2015 09:52:23	   126.581 MHz	 V/m	-10.3 dBm	OK	IP0: 25946	(10.92 V/m)	Digital: 0XFF
29/04/2015 09:52:26	   127.214 MHz	 V/m	-10.3 dBm	OK	IP0: 25953	(11.12 V/m)	Digital: 0XFF
29/04/2015 09:52:29	   127.850 MHz	 V/m	-10.3 dBm	OK	IP0: 25988	(10.99 V/m)	Digital: 0XFF
29/04/2015 09:52:33	   128.489 MHz	 V/m	-10.5 dBm	OK	IP0: 26096	(11.18 V/m)	Digital: 0XFF
29/04/2015 09:52:36	   129.131 MHz	 V/m	-10.1 dBm	OK	IP0: 26313	(11.13 V/m)	Digital: 0XFF
29/04/2015 09:52:39	   129.777 MHz	 V/m	 -9.7 dBm	OK	IP0: 26613	(11.16 V/m)	Digital: 0XFF
29/04/2015 09:52:42	   130.426 MHz	 V/m	 -9.3 dBm	OK	IP0: 26792	(11.20 V/m)	Digital: 0XFF
29/04/2015 09:52:46	   131.078 MHz	 V/m	 -8.9 dBm	OK	IP0: 27261	(11.15 V/m)	Digital: 0XFF
29/04/2015 09:52:50	   131.733 MHz	 V/m	 -8.6 dBm	OK	IP0: 27487	(11.14 V/m)	Digital: 0XFF
29/04/2015 09:52:54	   132.392 MHz	 V/m	 -8.5 dBm	OK	IP0: 27588	(11.09 V/m)	Digital: 0XFF
29/04/2015 09:52:58	   133.054 MHz	 V/m	 -8.5 dBm	OK	IP0: 27995	(11.15 V/m)	Digital: 0XFF
29/04/2015 09:53:02	   133.719 MHz	 V/m	 -8.4 dBm	OK	IP0: 27886	(11.16 V/m)	Digital: 0XFF
29/04/2015 09:53:06	   134.388 MHz	 V/m	 -8.3 dBm	OK	IP0: 28189	(11.14 V/m)	Digital: 0XFF
29/04/2015 09:53:10	   135.060 MHz	 V/m	 -8.2 dBm	OK	IP0: 28175	(11.14 V/m)	Digital: 0XFF
29/04/2015 09:53:14	   135.735 MHz	 V/m	 -8.1 dBm	OK	IP0: 28404	(11.11 V/m)	Digital: 0XFF
29/04/2015 09:53:18	   136.414 MHz	 V/m	 -8.0 dBm	OK	IP0: 28530	(11.13 V/m)	Digital: 0XFF
29/04/2015 09:53:22	   137.096 MHz	 V/m	 -8.1 dBm	OK	IP0: 28418	(11.14 V/m)	Digital: 0XFF
29/04/2015 09:53:26	   137.781 MHz	 V/m	 -8.2 dBm	OK	IP0: 28333	(11.15 V/m)	Digital: 0XFF
29/04/2015 09:53:30	   138.470 MHz	 V/m	 -8.2 dBm	OK	IP0: 28503	(11.17 V/m)	Digital: 0XFF
29/04/2015 09:53:34	   139.163 MHz	 V/m	 -8.2 dBm	OK	IP0: 28323	(11.12 V/m)	Digital: 0XFF
29/04/2015 09:53:38	   139.859 MHz	 V/m	 -8.2 dBm	OK	IP0: 28351	(11.16 V/m)	Digital: 0XFF
29/04/2015 09:53:42	   140.558 MHz	 V/m	 -8.5 dBm	OK	IP0: 28250	(11.13 V/m)	Digital: 0XFF
29/04/2015 09:53:46	   141.261 MHz	 V/m	 -8.8 dBm	OK	IP0: 28136	(11.11 V/m)	Digital: 0XFF
29/04/2015 09:53:50	   141.967 MHz	 V/m	 -8.9 dBm	OK	IP0: 27991	(11.17 V/m)	Digital: 0XFF
29/04/2015 09:53:54	   142.677 MHz	 V/m	 -9.1 dBm	OK	IP0: 27775	(11.17 V/m)	Digital: 0XFF
29/04/2015 09:53:58	   143.390 MHz	 V/m	 -9.1 dBm	OK	IP0: 27623	(11.16 V/m)	Digital: 0XFF
29/04/2015 09:54:02	   144.107 MHz	 V/m	 -9.2 dBm	OK	IP0: 27474	(11.13 V/m)	Digital: 0XFF
29/04/2015 09:54:06	   144.828 MHz	 V/m	 -9.0 dBm	OK	IP0: 27439	(11.19 V/m)	Digital: 0XFF
29/04/2015 09:54:10	   145.552 MHz	 V/m	 -9.0 dBm	OK	IP0: 27343	(11.19 V/m)	Digital: 0XFF
29/04/2015 09:54:14	   146.279 MHz	 V/m	 -8.9 dBm	OK	IP0: 27215	(11.20 V/m)	Digital: 0XFF
29/04/2015 09:54:18	   147.011 MHz	 V/m	 -8.9 dBm	OK	IP0: 27049	(11.12 V/m)	Digital: 0XFF
29/04/2015 09:54:22	   147.746 MHz	 V/m	 -8.9 dBm	OK	IP0: 26972	(11.20 V/m)	Digital: 0XFF
29/04/2015 09:54:26	   148.485 MHz	 V/m	 -9.1 dBm	OK	IP0: 26725	(11.16 V/m)	Digital: 0XFF
29/04/2015 09:54:30	   149.227 MHz	 V/m	 -9.3 dBm	OK	IP0: 26456	(11.13 V/m)	Digital: 0XFF
29/04/2015 09:54:34	   149.973 MHz	 V/m	 -9.4 dBm	OK	IP0: 26159	(11.18 V/m)	Digital: 0XFF
29/04/2015 09:54:38	   150.723 MHz	 V/m	 -9.5 dBm	OK	IP0: 25944	(11.19 V/m)	Digital: 0XFF
29/04/2015 09:54:42	   151.477 MHz	 V/m	 -9.6 dBm	OK	IP0: 25641	(11.18 V/m)	Digital: 0XFF
29/04/2015 09:55:42	   152.234 MHz	 V/m	 10.0 dBm	OK	IP0: 3534	(-8.35 V/m)	Digital: 0XFF
29/04/2015 09:55:42	   152.995 MHz	 10.0 dBm	FAIL (LIMIT)	IP0: 3534	(-7.53 V/m)	Digital: 0XFF
29/04/2015 09:55:45	   153.760 MHz	 10.0 dBm	FAIL (LIMIT)	IP0: 3566	(-7.12 V/m)	Digital: 0XFF
29/04/2015 09:55:56	   154.529 MHz	 V/m	-11.1 dBm	OK	IP0: 24674	(10.82 V/m)	Digital: 0XFF
29/04/2015 09:56:00	   155.302 MHz	 V/m	-11.2 dBm	OK	IP0: 24775	(11.14 V/m)	Digital: 0XFF
29/04/2015 09:56:03	   156.078 MHz	 V/m	-11.2 dBm	OK	IP0: 24775	(10.88 V/m)	Digital: 0XFF
29/04/2015 09:56:06	   156.859 MHz	 V/m	-11.2 dBm	OK	IP0: 25376	(10.83 V/m)	Digital: 0XFF
29/04/2015 09:56:10	   157.643 MHz	 V/m	-12.2 dBm	OK	IP0: 24627	(11.11 V/m)	Digital: 0XFF
29/04/2015 09:56:14	   158.431 MHz	 V/m	-12.4 dBm	OK	IP0: 24671	(11.18 V/m)	Digital: 0XFF
29/04/2015 09:56:18	   159.223 MHz	 V/m	-12.6 dBm	OK	IP0: 24745	(11.20 V/m)	Digital: 0XFF
29/04/2015 09:56:22	   160.019 MHz	 V/m	-12.9 dBm	OK	IP0: 24763	(11.09 V/m)	Digital: 0XFF
29/04/2015 09:56:26	   160.819 MHz	 V/m	-12.9 dBm	OK	IP0: 25040	(11.13 V/m)	Digital: 0XFF
29/04/2015 09:56:30	   161.624 MHz	 V/m	-12.9 dBm	OK	IP0: 25306	(11.14 V/m)	Digital: 0XFF
29/04/2015 09:56:34	   162.432 MHz	 V/m	-12.9 dBm	OK	IP0: 25280	(11.10 V/m)	Digital: 0XFF
