15/02/2016 11:35:29	    80.000 MHz	 12.4 V/m	 -9.1 dBm	OK	IP0: 30032	(10.75 V/m)	Digital: 0XFF
15/02/2016 11:35:35	    80.400 MHz	 13.1 V/m	 -8.5 dBm	OK	IP0: 30254	(11.50 V/m)	Digital: 0XFF
15/02/2016 11:35:41	    80.802 MHz	 12.8 V/m	 -8.7 dBm	OK	IP0: 30139	(11.44 V/m)	Digital: 0XFF
15/02/2016 11:35:47	    81.206 MHz	 12.5 V/m	 -8.8 dBm	OK	IP0: 30056	(11.43 V/m)	Digital: 0XFF
15/02/2016 11:35:53	    81.612 MHz	 12.3 V/m	 -8.9 dBm	OK	IP0: 29955	(11.43 V/m)	Digital: 0XFF
15/02/2016 11:35:59	    82.020 MHz	 12.4 V/m	 -8.8 dBm	OK	IP0: 29960	(11.58 V/m)	Digital: 0XFF
15/02/2016 11:36:05	    82.430 MHz	 12.1 V/m	 -9.0 dBm	OK	IP0: 29845	(11.48 V/m)	Digital: 0XFF
15/02/2016 11:36:11	    82.842 MHz	 11.8 V/m	 -9.1 dBm	OK	IP0: 29761	(11.49 V/m)	Digital: 0XFF
15/02/2016 11:36:36	    83.257 MHz	 11.6 V/m	 -9.3 dBm	OK	IP0: 29660	(11.52 V/m)	Digital: 0XFF
15/02/2016 11:36:42	    83.673 MHz	 11.5 V/m	 -9.4 dBm	OK	IP0: 29560	(11.49 V/m)	Digital: 0XFF
15/02/2016 11:36:48	    84.091 MHz	 11.4 V/m	 -9.5 dBm	OK	IP0: 29469	(11.47 V/m)	Digital: 0XFF
15/02/2016 11:36:54	    84.512 MHz	 11.4 V/m	 -9.5 dBm	OK	IP0: 29399	(11.44 V/m)	Digital: 0XFF
15/02/2016 11:37:00	    84.934 MHz	 11.5 V/m	 -9.5 dBm	OK	IP0: 29347	(11.43 V/m)	Digital: 0XFF
15/02/2016 11:37:05	    85.359 MHz	 11.5 V/m	 -9.5 dBm	OK	IP0: 29304	(11.44 V/m)	Digital: 0XFF
15/02/2016 11:37:10	    85.786 MHz	 11.7 V/m	 -9.3 dBm	OK	IP0: 29321	(11.60 V/m)	Digital: 0XFF
15/02/2016 11:37:16	    86.215 MHz	 11.6 V/m	 -9.4 dBm	OK	IP0: 29215	(11.46 V/m)	Digital: 0XFF
15/02/2016 11:37:21	    86.646 MHz	 11.8 V/m	 -9.4 dBm	OK	IP0: 29133	(11.43 V/m)	Digital: 0XFF
15/02/2016 11:37:27	    87.079 MHz	 12.1 V/m	 -9.2 dBm	OK	IP0: 29112	(11.57 V/m)	Digital: 0XFF
15/02/2016 11:37:32	    87.514 MHz	 12.3 V/m	 -9.2 dBm	OK	IP0: 28985	(11.44 V/m)	Digital: 0XFF
15/02/2016 11:37:37	    87.952 MHz	 12.8 V/m	 -8.9 dBm	OK	IP0: 29018	(11.57 V/m)	Digital: 0XFF
15/02/2016 11:37:43	    88.392 MHz	 12.9 V/m	 -9.0 dBm	OK	IP0: 28934	(11.44 V/m)	Digital: 0XFF
15/02/2016 11:37:48	    88.834 MHz	 13.4 V/m	 -8.8 dBm	OK	IP0: 28914	(11.60 V/m)	Digital: 0XFF
15/02/2016 11:37:54	    89.278 MHz	 13.5 V/m	 -9.0 dBm	OK	IP0: 28759	(11.45 V/m)	Digital: 0XFF
15/02/2016 11:38:00	    89.724 MHz	 14.0 V/m	 -8.8 dBm	OK	IP0: 28786	(11.55 V/m)	Digital: 0XFF
15/02/2016 11:38:06	    90.173 MHz	 13.9 V/m	 -9.0 dBm	OK	IP0: 28628	(11.46 V/m)	Digital: 0XFF
15/02/2016 11:38:12	    90.624 MHz	 14.2 V/m	 -8.9 dBm	OK	IP0: 28659	(11.60 V/m)	Digital: 0XFF
15/02/2016 11:38:18	    91.077 MHz	 14.0 V/m	 -9.2 dBm	OK	IP0: 28551	(11.45 V/m)	Digital: 0XFF
15/02/2016 11:38:24	    91.532 MHz	 13.9 V/m	 -9.4 dBm	OK	IP0: 28447	(11.41 V/m)	Digital: 0XFF
15/02/2016 11:38:29	    91.990 MHz	 14.0 V/m	 -9.3 dBm	OK	IP0: 28453	(11.57 V/m)	Digital: 0XFF
15/02/2016 11:38:35	    92.450 MHz	 14.3 V/m	 -9.2 dBm	OK	IP0: 28484	(11.53 V/m)	Digital: 0XFF
15/02/2016 11:38:41	    92.912 MHz	 14.8 V/m	 -9.1 dBm	OK	IP0: 28546	(11.55 V/m)	Digital: 0XFF
15/02/2016 11:38:47	    93.377 MHz	 15.1 V/m	 -9.0 dBm	OK	IP0: 28606	(11.57 V/m)	Digital: 0XFF
15/02/2016 11:38:53	    93.843 MHz	 15.3 V/m	 -8.8 dBm	OK	IP0: 28681	(11.55 V/m)	Digital: 0XFF
15/02/2016 11:38:59	    94.313 MHz	 15.5 V/m	 -8.7 dBm	OK	IP0: 28736	(11.55 V/m)	Digital: 0XFF
15/02/2016 11:39:05	    94.784 MHz	 15.3 V/m	 -8.9 dBm	OK	IP0: 28744	(11.43 V/m)	Digital: 0XFF
15/02/2016 11:39:10	    95.258 MHz	 15.5 V/m	 -8.7 dBm	OK	IP0: 28872	(11.56 V/m)	Digital: 0XFF
15/02/2016 11:39:16	    95.734 MHz	 15.5 V/m	 -8.6 dBm	OK	IP0: 28941	(11.60 V/m)	Digital: 0XFF
15/02/2016 11:39:22	    96.213 MHz	 15.2 V/m	 -8.8 dBm	OK	IP0: 28924	(11.44 V/m)	Digital: 0XFF
15/02/2016 11:39:28	    96.694 MHz	 15.6 V/m	 -8.7 dBm	OK	IP0: 29041	(11.56 V/m)	Digital: 0XFF
15/02/2016 11:39:34	    97.178 MHz	 15.5 V/m	 -8.8 dBm	OK	IP0: 29061	(11.47 V/m)	Digital: 0XFF
15/02/2016 11:39:40	    97.664 MHz	 15.6 V/m	 -8.7 dBm	OK	IP0: 29176	(11.59 V/m)	Digital: 0XFF
15/02/2016 11:39:46	    98.152 MHz	 15.2 V/m	 -8.9 dBm	OK	IP0: 29165	(11.43 V/m)	Digital: 0XFF
15/02/2016 11:39:52	    98.643 MHz	 15.3 V/m	 -8.7 dBm	OK	IP0: 29294	(11.58 V/m)	Digital: 0XFF
15/02/2016 11:39:57	    99.136 MHz	 15.2 V/m	 -8.7 dBm	OK	IP0: 29366	(11.60 V/m)	Digital: 0XFF
15/02/2016 11:40:03	    99.632 MHz	 15.1 V/m	 -8.6 dBm	OK	IP0: 29436	(11.58 V/m)	Digital: 0XFF
15/02/2016 11:40:09	   100.130 MHz	 14.5 V/m	 -8.8 dBm	OK	IP0: 29405	(11.44 V/m)	Digital: 0XFF
15/02/2016 11:40:15	   100.630 MHz	 14.0 V/m	 -9.0 dBm	OK	IP0: 29370	(11.47 V/m)	Digital: 0XFF
15/02/2016 11:40:21	   101.133 MHz	 13.6 V/m	 -9.3 dBm	OK	IP0: 29307	(11.48 V/m)	Digital: 0XFF
15/02/2016 11:40:27	   101.639 MHz	 13.2 V/m	 -9.5 dBm	OK	IP0: 29255	(11.48 V/m)	Digital: 0XFF
15/02/2016 11:40:33	   102.147 MHz	 12.9 V/m	 -9.7 dBm	OK	IP0: 29195	(11.49 V/m)	Digital: 0XFF
15/02/2016 11:40:39	   102.658 MHz	 12.7 V/m	 -9.9 dBm	OK	IP0: 29128	(11.50 V/m)	Digital: 0XFF
15/02/2016 11:40:45	   103.171 MHz	 12.5 V/m	-10.0 dBm	OK	IP0: 29100	(11.50 V/m)	Digital: 0XFF
15/02/2016 11:40:51	   103.687 MHz	 12.3 V/m	-10.2 dBm	OK	IP0: 29072	(11.54 V/m)	Digital: 0XFF
15/02/2016 11:40:57	   104.206 MHz	 12.2 V/m	-10.4 dBm	OK	IP0: 29017	(11.52 V/m)	Digital: 0XFF
15/02/2016 11:41:03	   104.727 MHz	 12.2 V/m	-10.5 dBm	OK	IP0: 28989	(11.51 V/m)	Digital: 0XFF
