11/01/2017 16:17:12	  1214.721 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 217	(-21.86 V/m)	Digital: 0XFF
11/01/2017 16:17:16	  1220.794 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 230	(-23.39 V/m)	Digital: 0XFF
11/01/2017 16:17:20	  1226.898 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 205	(-24.75 V/m)	Digital: 0XFF
11/01/2017 16:17:24	  1233.033 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 226	(-24.95 V/m)	Digital: 0XFF
11/01/2017 16:17:28	  1239.198 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 228	(-26.31 V/m)	Digital: 0XFF
11/01/2017 16:17:32	  1245.394 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 213	(-23.09 V/m)	Digital: 0XFF
11/01/2017 16:17:36	  1251.621 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 184	(-22.26 V/m)	Digital: 0XFF
11/01/2017 16:17:40	  1257.879 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 229	(-22.50 V/m)	Digital: 0XFF
11/01/2017 16:17:44	  1264.168 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 186	(-21.24 V/m)	Digital: 0XFF
11/01/2017 16:17:48	  1270.489 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 201	(-24.03 V/m)	Digital: 0XFF
11/01/2017 16:17:52	  1276.842 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 221	(-24.73 V/m)	Digital: 0XFF
11/01/2017 16:17:56	  1283.226 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 186	(-24.77 V/m)	Digital: 0XFF
11/01/2017 16:18:00	  1289.642 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 193	(-24.07 V/m)	Digital: 0XFF
11/01/2017 16:18:04	  1296.090 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 207	(-21.72 V/m)	Digital: 0XFF
11/01/2017 16:18:08	  1302.571 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 186	(-25.57 V/m)	Digital: 0XFF
11/01/2017 16:18:12	  1309.083 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 193	(-22.97 V/m)	Digital: 0XFF
11/01/2017 16:18:16	  1315.629 MHz	  0.5 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 211	(-19.08 V/m)	Digital: 0XFF
11/01/2017 16:18:20	  1322.207 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 201	(-17.38 V/m)	Digital: 0XFF
11/01/2017 16:18:24	  1328.818 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 227	(-18.76 V/m)	Digital: 0XFF
11/01/2017 16:18:28	  1335.462 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 189	(-20.96 V/m)	Digital: 0XFF
11/01/2017 16:18:32	  1342.139 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 195	(-22.55 V/m)	Digital: 0XFF
11/01/2017 16:18:36	  1348.850 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 214	(-22.96 V/m)	Digital: 0XFF
11/01/2017 16:18:40	  1355.594 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 191	(-22.99 V/m)	Digital: 0XFF
11/01/2017 16:18:44	  1362.372 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 232	(-20.89 V/m)	Digital: 0XFF
11/01/2017 16:18:48	  1369.184 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 213	(-17.49 V/m)	Digital: 0XFF
11/01/2017 16:18:52	  1376.030 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 215	(-21.16 V/m)	Digital: 0XFF
11/01/2017 16:18:56	  1382.910 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 189	(-27.12 V/m)	Digital: 0XFF
11/01/2017 16:19:00	  1389.825 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 183	(-24.44 V/m)	Digital: 0XFF
11/01/2017 16:19:04	  1396.774 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 234	(-24.82 V/m)	Digital: 0XFF
11/01/2017 16:19:08	  1403.758 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 186	(-27.70 V/m)	Digital: 0XFF
11/01/2017 16:19:12	  1410.777 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 220	(-29.77 V/m)	Digital: 0XFF
11/01/2017 16:19:16	  1417.831 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 214	(-28.48 V/m)	Digital: 0XFF
11/01/2017 16:19:20	  1424.920 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 224	(-25.14 V/m)	Digital: 0XFF
11/01/2017 16:19:24	  1432.044 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 213	(-29.77 V/m)	Digital: 0XFF
11/01/2017 16:19:28	  1439.204 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 223	(-28.33 V/m)	Digital: 0XFF
11/01/2017 16:19:32	  1446.401 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 183	(-28.22 V/m)	Digital: 0XFF
11/01/2017 16:19:36	  1453.633 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 186	(-27.03 V/m)	Digital: 0XFF
11/01/2017 16:19:40	  1460.901 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 180	(-25.45 V/m)	Digital: 0XFF
11/01/2017 16:19:44	  1468.205 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 206	(-25.67 V/m)	Digital: 0XFF
11/01/2017 16:19:48	  1475.546 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 183	(-25.75 V/m)	Digital: 0XFF
11/01/2017 16:19:52	  1482.924 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 195	(-24.10 V/m)	Digital: 0XFF
11/01/2017 16:19:56	  1490.339 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 184	(-24.40 V/m)	Digital: 0XFF
11/01/2017 16:20:00	  1497.790 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 229	(-28.52 V/m)	Digital: 0XFF
11/01/2017 16:20:04	  1505.279 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 216	(-29.52 V/m)	Digital: 0XFF
11/01/2017 16:20:08	  1512.806 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 225	(-27.36 V/m)	Digital: 0XFF
11/01/2017 16:20:12	  1520.370 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 202	(-20.94 V/m)	Digital: 0XFF
11/01/2017 16:20:16	  1527.971 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 197	(-16.98 V/m)	Digital: 0XFF
11/01/2017 16:20:20	  1535.611 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 230	(-24.24 V/m)	Digital: 0XFF
11/01/2017 16:20:24	  1543.289 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 185	(-30.68 V/m)	Digital: 0XFF
11/01/2017 16:20:28	  1551.006 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 228	(-24.01 V/m)	Digital: 0XFF
11/01/2017 16:20:32	  1558.761 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 218	(-24.48 V/m)	Digital: 0XFF
11/01/2017 16:20:36	  1566.555 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 182	(-28.82 V/m)	Digital: 0XFF
11/01/2017 16:20:40	  1574.387 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 225	(-29.84 V/m)	Digital: 0XFF
11/01/2017 16:20:44	  1582.259 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 225	(-27.22 V/m)	Digital: 0XFF
11/01/2017 16:20:48	  1590.171 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 194	(-25.16 V/m)	Digital: 0XFF
11/01/2017 16:20:52	  1598.122 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 224	(-26.07 V/m)	Digital: 0XFF
11/01/2017 16:20:56	  1606.112 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 220	(-28.09 V/m)	Digital: 0XFF
11/01/2017 16:21:00	  1614.143 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 195	(-27.64 V/m)	Digital: 0XFF
11/01/2017 16:21:04	  1622.213 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 203	(-25.33 V/m)	Digital: 0XFF
11/01/2017 16:21:08	  1630.324 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 228	(-24.73 V/m)	Digital: 0XFF
11/01/2017 16:21:12	  1638.476 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 223	(-24.73 V/m)	Digital: 0XFF
11/01/2017 16:21:16	  1646.668 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 209	(-24.75 V/m)	Digital: 0XFF
11/01/2017 16:21:20	  1654.902 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 225	(-20.67 V/m)	Digital: 0XFF
