30/05/2017 13:27:28	   253.000 MHz	 12.1 V/m	-12.8 dBm	OK	IP0: 25852	(10.94 V/m)	Digital: 0XFF
30/05/2017 13:27:34	   254.265 MHz	 12.1 V/m	-13.0 dBm	OK	IP0: 25551	(11.11 V/m)	Digital: 0XFF
30/05/2017 13:27:40	   255.536 MHz	 12.2 V/m	-13.3 dBm	OK	IP0: 25059	(11.10 V/m)	Digital: 0XFF
30/05/2017 13:27:45	   256.814 MHz	 13.1 V/m	-13.6 dBm	OK	IP0: 24842	(11.09 V/m)	Digital: 0XFF
30/05/2017 13:27:50	   258.098 MHz	 13.9 V/m	-13.9 dBm	OK	IP0: 24865	(11.14 V/m)	Digital: 0XFF
30/05/2017 13:27:56	   259.389 MHz	 12.9 V/m	-14.4 dBm	OK	IP0: 24797	(11.16 V/m)	Digital: 0XFF
30/05/2017 13:28:02	   260.686 MHz	 12.4 V/m	-14.5 dBm	OK	IP0: 24640	(11.07 V/m)	Digital: 0XFF
30/05/2017 13:28:08	   261.989 MHz	 12.0 V/m	-14.3 dBm	OK	IP0: 24515	(11.14 V/m)	Digital: 0XFF
30/05/2017 13:28:14	   263.299 MHz	 11.6 V/m	-14.5 dBm	OK	IP0: 24327	(11.10 V/m)	Digital: 0XFF
30/05/2017 13:28:20	   264.615 MHz	 11.5 V/m	-14.9 dBm	OK	IP0: 24179	(11.17 V/m)	Digital: 0XFF
30/05/2017 13:28:26	   265.938 MHz	 11.5 V/m	-15.7 dBm	OK	IP0: 23917	(11.16 V/m)	Digital: 0XFF
30/05/2017 13:28:32	   267.268 MHz	 11.5 V/m	-16.3 dBm	OK	IP0: 23662	(11.08 V/m)	Digital: 0XFF
30/05/2017 13:28:37	   268.604 MHz	 12.2 V/m	-16.1 dBm	OK	IP0: 23647	(11.18 V/m)	Digital: 0XFF
30/05/2017 13:28:42	   269.948 MHz	 13.5 V/m	-15.7 dBm	OK	IP0: 23848	(11.11 V/m)	Digital: 0XFF
30/05/2017 13:28:48	   271.297 MHz	 14.5 V/m	-15.7 dBm	OK	IP0: 24017	(11.13 V/m)	Digital: 0XFF
30/05/2017 13:28:54	   272.654 MHz	 15.8 V/m	-15.9 dBm	OK	IP0: 24070	(11.13 V/m)	Digital: 0XFF
30/05/2017 13:29:00	   274.017 MHz	 16.8 V/m	-16.1 dBm	OK	IP0: 24047	(11.05 V/m)	Digital: 0XFF
30/05/2017 13:29:05	   275.387 MHz	 18.3 V/m	-15.9 dBm	OK	IP0: 24128	(11.18 V/m)	Digital: 0XFF
30/05/2017 13:29:11	   276.764 MHz	 19.5 V/m	-15.7 dBm	OK	IP0: 24173	(11.06 V/m)	Digital: 0XFF
30/05/2017 13:29:16	   278.148 MHz	 21.8 V/m	-15.3 dBm	OK	IP0: 24478	(11.17 V/m)	Digital: 0XFF
30/05/2017 13:29:22	   279.539 MHz	 23.8 V/m	-14.8 dBm	OK	IP0: 24711	(11.13 V/m)	Digital: 0XFF
30/05/2017 13:29:28	   280.936 MHz	 24.7 V/m	-14.5 dBm	OK	IP0: 24814	(11.11 V/m)	Digital: 0XFF
30/05/2017 13:29:33	   282.341 MHz	 25.3 V/m	-14.5 dBm	OK	IP0: 24828	(11.19 V/m)	Digital: 0XFF
30/05/2017 13:29:39	   283.753 MHz	 24.3 V/m	-14.6 dBm	OK	IP0: 24765	(11.09 V/m)	Digital: 0XFF
30/05/2017 13:29:44	   285.171 MHz	 23.8 V/m	-14.3 dBm	OK	IP0: 24794	(11.11 V/m)	Digital: 0XFF
30/05/2017 13:29:50	   286.597 MHz	 23.0 V/m	-14.0 dBm	OK	IP0: 24784	(11.15 V/m)	Digital: 0XFF
