17/11/2015 13:14:21	     0.880 MHz	 11.2 V/m	-16.6 dBm	OK
17/11/2015 13:14:24	     0.890 MHz	 11.2 V/m	-16.6 dBm	OK
17/11/2015 13:14:27	     0.900 MHz	 11.2 V/m	-16.6 dBm	OK
17/11/2015 13:14:30	     0.910 MHz	 11.2 V/m	-16.7 dBm	OK
17/11/2015 13:14:33	     0.920 MHz	 11.2 V/m	-16.7 dBm	OK
17/11/2015 13:14:36	     0.930 MHz	 11.2 V/m	-16.7 dBm	OK
17/11/2015 13:14:39	     0.940 MHz	 11.2 V/m	-16.7 dBm	OK
17/11/2015 13:14:42	     0.950 MHz	 11.2 V/m	-16.8 dBm	OK
17/11/2015 13:14:46	     0.960 MHz	 11.2 V/m	-16.8 dBm	OK
17/11/2015 13:14:49	     0.970 MHz	 11.2 V/m	-16.8 dBm	OK
17/11/2015 13:14:52	     0.980 MHz	 11.2 V/m	-16.8 dBm	OK
17/11/2015 13:14:56	     0.990 MHz	 11.2 V/m	-16.9 dBm	OK
17/11/2015 13:14:59	     1.000 MHz	 11.2 V/m	-16.9 dBm	OK
