23/08/2017 10:56:57	    80.000 MHz	 13.7 V/m	 -8.7 dBm	OK	IP0: 30930	(10.47 V/m)	Digital: 0XFF
23/08/2017 10:57:01	    80.400 MHz	 14.0 V/m	 -8.5 dBm	OK	IP0: 30964	(10.70 V/m)	Digital: 0XFF
23/08/2017 10:57:05	    80.802 MHz	 14.1 V/m	 -8.5 dBm	OK	IP0: 30934	(10.63 V/m)	Digital: 0XFF
23/08/2017 10:57:09	    81.206 MHz	 14.2 V/m	 -8.5 dBm	OK	IP0: 30908	(10.74 V/m)	Digital: 0XFF
23/08/2017 10:57:13	    81.612 MHz	 14.3 V/m	 -8.5 dBm	OK	IP0: 30903	(10.86 V/m)	Digital: 0XFF
23/08/2017 10:57:17	    82.020 MHz	 14.4 V/m	 -8.5 dBm	OK	IP0: 30900	(11.04 V/m)	Digital: 0XFF
23/08/2017 10:57:21	    82.430 MHz	 14.6 V/m	 -8.5 dBm	OK	IP0: 30904	(11.23 V/m)	Digital: 0XFF
23/08/2017 10:57:25	    82.842 MHz	 14.7 V/m	 -8.5 dBm	OK	IP0: 30899	(11.45 V/m)	Digital: 0XFF
23/08/2017 10:57:29	    83.257 MHz	 15.1 V/m	 -8.9 dBm	OK	IP0: 30732	(11.50 V/m)	Digital: 0XFF
23/08/2017 10:57:33	    83.673 MHz	 15.3 V/m	 -8.9 dBm	OK	IP0: 30708	(11.43 V/m)	Digital: 0XFF
23/08/2017 10:57:37	    84.091 MHz	 16.0 V/m	 -8.9 dBm	OK	IP0: 30695	(11.57 V/m)	Digital: 0XFF
23/08/2017 10:57:41	    84.512 MHz	 16.3 V/m	 -9.2 dBm	OK	IP0: 30535	(11.54 V/m)	Digital: 0XFF
23/08/2017 10:57:45	    84.934 MHz	 16.0 V/m	 -9.2 dBm	OK	IP0: 30566	(11.35 V/m)	Digital: 0XFF
23/08/2017 10:57:49	    85.359 MHz	 16.4 V/m	 -9.2 dBm	OK	IP0: 30543	(11.56 V/m)	Digital: 0XFF
23/08/2017 10:57:53	    85.786 MHz	 16.4 V/m	 -9.5 dBm	OK	IP0: 30395	(11.49 V/m)	Digital: 0XFF
23/08/2017 10:57:57	    86.215 MHz	 16.1 V/m	 -9.5 dBm	OK	IP0: 30398	(11.36 V/m)	Digital: 0XFF
23/08/2017 10:58:02	    86.646 MHz	 16.0 V/m	 -9.5 dBm	OK	IP0: 30364	(11.49 V/m)	Digital: 0XFF
23/08/2017 10:58:07	    87.079 MHz	 15.7 V/m	 -9.5 dBm	OK	IP0: 30265	(11.53 V/m)	Digital: 0XFF
23/08/2017 10:58:12	    87.514 MHz	 15.4 V/m	 -9.5 dBm	OK	IP0: 30179	(11.39 V/m)	Digital: 0XFF
23/08/2017 10:58:17	    87.952 MHz	 15.2 V/m	 -9.5 dBm	OK	IP0: 30146	(11.29 V/m)	Digital: 0XFF
23/08/2017 10:58:22	    88.392 MHz	 15.2 V/m	 -9.5 dBm	OK	IP0: 30049	(11.36 V/m)	Digital: 0XFF
23/08/2017 10:58:26	    88.834 MHz	 15.3 V/m	 -9.5 dBm	OK	IP0: 29941	(11.26 V/m)	Digital: 0XFF
23/08/2017 10:58:31	    89.278 MHz	 15.3 V/m	 -9.5 dBm	OK	IP0: 29833	(11.15 V/m)	Digital: 0XFF
23/08/2017 10:58:35	    89.724 MHz	 15.3 V/m	 -9.5 dBm	OK	IP0: 29736	(11.04 V/m)	Digital: 0XFF
23/08/2017 10:58:39	    90.173 MHz	 15.3 V/m	 -9.5 dBm	OK	IP0: 29653	(10.96 V/m)	Digital: 0XFF
23/08/2017 10:58:43	    90.624 MHz	 15.4 V/m	 -9.5 dBm	OK	IP0: 29553	(10.92 V/m)	Digital: 0XFF
23/08/2017 10:58:47	    91.077 MHz	 15.4 V/m	 -9.5 dBm	OK	IP0: 29393	(10.85 V/m)	Digital: 0XFF
23/08/2017 10:58:52	    91.532 MHz	 15.3 V/m	 -9.5 dBm	OK	IP0: 29267	(10.66 V/m)	Digital: 0XFF
23/08/2017 10:58:57	    91.990 MHz	 15.2 V/m	 -9.5 dBm	OK	IP0: 29184	(10.54 V/m)	Digital: 0XFF
23/08/2017 10:59:01	    92.450 MHz	 15.2 V/m	 -9.3 dBm	OK	IP0: 29177	(10.53 V/m)	Digital: 0XFF
23/08/2017 10:59:05	    92.912 MHz	 15.5 V/m	 -9.0 dBm	OK	IP0: 29175	(10.45 V/m)	Digital: 0XFF
23/08/2017 10:59:09	    93.377 MHz	 15.7 V/m	 -8.7 dBm	OK	IP0: 29260	(10.42 V/m)	Digital: 0XFF
23/08/2017 10:59:13	    93.843 MHz	 16.0 V/m	 -8.4 dBm	OK	IP0: 29380	(10.54 V/m)	Digital: 0XFF
23/08/2017 10:59:17	    94.313 MHz	 16.3 V/m	 -8.1 dBm	OK	IP0: 29438	(10.69 V/m)	Digital: 0XFF
23/08/2017 10:59:21	    94.784 MHz	 16.4 V/m	 -7.9 dBm	OK	IP0: 29588	(10.73 V/m)	Digital: 0XFF
23/08/2017 10:59:26	    95.258 MHz	 16.2 V/m	 -7.9 dBm	OK	IP0: 29628	(10.41 V/m)	Digital: 0XFF
23/08/2017 10:59:30	    95.734 MHz	 16.2 V/m	 -7.7 dBm	OK	IP0: 29746	(10.92 V/m)	Digital: 0XFF
23/08/2017 10:59:35	    96.213 MHz	 16.2 V/m	 -7.7 dBm	OK	IP0: 29875	(10.51 V/m)	Digital: 0XFF
23/08/2017 10:59:39	    96.694 MHz	 16.2 V/m	 -7.7 dBm	OK	IP0: 29953	(10.66 V/m)	Digital: 0XFF
23/08/2017 10:59:43	    97.178 MHz	 16.3 V/m	 -7.7 dBm	OK	IP0: 30058	(10.71 V/m)	Digital: 0XFF
23/08/2017 10:59:47	    97.664 MHz	 16.3 V/m	 -7.7 dBm	OK	IP0: 30231	(10.82 V/m)	Digital: 0XFF
23/08/2017 10:59:51	    98.152 MHz	 16.3 V/m	 -7.7 dBm	OK	IP0: 30342	(11.06 V/m)	Digital: 0XFF
23/08/2017 10:59:55	    98.643 MHz	 16.3 V/m	 -7.7 dBm	OK	IP0: 30427	(11.18 V/m)	Digital: 0XFF
23/08/2017 11:00:00	    99.136 MHz	 16.2 V/m	 -7.7 dBm	OK	IP0: 30569	(11.25 V/m)	Digital: 0XFF
23/08/2017 11:00:05	    99.632 MHz	 16.0 V/m	 -7.7 dBm	OK	IP0: 30662	(11.43 V/m)	Digital: 0XFF
23/08/2017 11:00:10	   100.130 MHz	 15.7 V/m	 -7.7 dBm	OK	IP0: 30714	(11.57 V/m)	Digital: 0XFF
23/08/2017 11:00:14	   100.630 MHz	 15.7 V/m	 -8.4 dBm	OK	IP0: 30452	(11.50 V/m)	Digital: 0XFF
23/08/2017 11:00:19	   101.133 MHz	 14.0 V/m	 -8.4 dBm	OK	IP0: 30569	(11.32 V/m)	Digital: 0XFF
23/08/2017 11:00:24	   101.639 MHz	 12.8 V/m	 -9.1 dBm	OK	IP0: 30383	(11.48 V/m)	Digital: 0XFF
23/08/2017 11:00:29	   102.147 MHz	 12.7 V/m	 -9.1 dBm	OK	IP0: 30441	(11.38 V/m)	Digital: 0XFF
23/08/2017 11:00:35	   102.658 MHz	 11.8 V/m	 -9.7 dBm	OK	IP0: 30232	(11.46 V/m)	Digital: 0XFF
23/08/2017 11:00:40	   103.171 MHz	 11.7 V/m	 -9.7 dBm	OK	IP0: 30319	(11.25 V/m)	Digital: 0XFF
23/08/2017 11:00:44	   103.687 MHz	 11.7 V/m	 -9.7 dBm	OK	IP0: 30398	(11.59 V/m)	Digital: 0XFF
23/08/2017 11:00:50	   104.206 MHz	 10.9 V/m	-10.4 dBm	OK	IP0: 30173	(11.54 V/m)	Digital: 0XFF
23/08/2017 11:00:55	   104.727 MHz	 10.9 V/m	-10.4 dBm	OK	IP0: 30233	(11.29 V/m)	Digital: 0XFF
23/08/2017 11:00:59	   105.250 MHz	 10.9 V/m	-10.4 dBm	OK	IP0: 30248	(11.45 V/m)	Digital: 0XFF
23/08/2017 11:01:03	   105.777 MHz	 11.0 V/m	-10.4 dBm	OK	IP0: 30246	(11.49 V/m)	Digital: 0XFF
23/08/2017 11:01:07	   106.305 MHz	 11.0 V/m	-10.4 dBm	OK	IP0: 30231	(11.49 V/m)	Digital: 0XFF
23/08/2017 11:01:11	   106.837 MHz	 11.0 V/m	-10.4 dBm	OK	IP0: 30218	(11.45 V/m)	Digital: 0XFF
23/08/2017 11:01:15	   107.371 MHz	 11.1 V/m	-10.4 dBm	OK	IP0: 30213	(11.41 V/m)	Digital: 0XFF
23/08/2017 11:01:19	   107.908 MHz	 11.1 V/m	-10.4 dBm	OK	IP0: 30205	(11.40 V/m)	Digital: 0XFF
23/08/2017 11:01:23	   108.448 MHz	 11.3 V/m	-10.4 dBm	OK	IP0: 30198	(11.38 V/m)	Digital: 0XFF
23/08/2017 11:01:27	   108.990 MHz	 11.4 V/m	-10.4 dBm	OK	IP0: 30198	(11.36 V/m)	Digital: 0XFF
23/08/2017 11:01:31	   109.535 MHz	 11.6 V/m	-10.4 dBm	OK	IP0: 30179	(11.36 V/m)	Digital: 0XFF
23/08/2017 11:01:35	   110.082 MHz	 11.8 V/m	-10.4 dBm	OK	IP0: 30162	(11.31 V/m)	Digital: 0XFF
23/08/2017 11:01:39	   110.633 MHz	 12.0 V/m	-10.4 dBm	OK	IP0: 30131	(11.27 V/m)	Digital: 0XFF
23/08/2017 11:01:43	   111.186 MHz	 12.1 V/m	-10.4 dBm	OK	IP0: 30078	(11.18 V/m)	Digital: 0XFF
23/08/2017 11:01:47	   111.742 MHz	 12.2 V/m	-10.4 dBm	OK	IP0: 29997	(11.04 V/m)	Digital: 0XFF
23/08/2017 11:01:51	   112.301 MHz	 12.2 V/m	-10.4 dBm	OK	IP0: 29907	(10.94 V/m)	Digital: 0XFF
23/08/2017 11:01:55	   112.862 MHz	 12.2 V/m	-10.4 dBm	OK	IP0: 29810	(10.92 V/m)	Digital: 0XFF
23/08/2017 11:01:59	   113.426 MHz	 12.2 V/m	-10.4 dBm	OK	IP0: 29711	(10.88 V/m)	Digital: 0XFF
23/08/2017 11:02:03	   113.994 MHz	 12.2 V/m	-10.4 dBm	OK	IP0: 29616	(10.85 V/m)	Digital: 0XFF
