02/03/2016 14:01:33	     0.880 MHz	  5.0 V/m	 -3.7 dBm	OK
02/03/2016 14:01:37	     0.890 MHz	  4.9 V/m	 -4.1 dBm	OK
02/03/2016 14:01:40	     0.900 MHz	  4.9 V/m	 -4.1 dBm	OK
02/03/2016 14:01:43	     0.910 MHz	  4.9 V/m	 -4.1 dBm	OK
02/03/2016 14:01:46	     0.920 MHz	  4.9 V/m	 -4.1 dBm	OK
02/03/2016 14:01:49	     0.930 MHz	  4.9 V/m	 -4.1 dBm	OK
02/03/2016 14:01:52	     0.940 MHz	  5.0 V/m	 -4.1 dBm	OK
02/03/2016 14:01:56	     0.950 MHz	  5.0 V/m	 -4.1 dBm	OK
02/03/2016 14:01:59	     0.960 MHz	  5.0 V/m	 -4.1 dBm	OK
02/03/2016 14:02:02	     0.970 MHz	  5.0 V/m	 -4.1 dBm	OK
02/03/2016 14:02:06	     0.980 MHz	  5.0 V/m	 -4.1 dBm	OK
02/03/2016 14:02:09	     0.990 MHz	  5.0 V/m	 -4.1 dBm	OK
02/03/2016 14:02:13	     1.000 MHz	  4.9 V/m	 -4.5 dBm	OK
