19/10/2017 13:04:41	     1.872 MHz	 11.7 V/m	 -1.3 dBm	OK
19/10/2017 13:04:45	     1.890 MHz	 11.7 V/m	 -1.5 dBm	OK
19/10/2017 13:04:49	     1.909 MHz	 11.7 V/m	 -1.6 dBm	OK
19/10/2017 13:04:53	     1.928 MHz	 11.7 V/m	 -1.8 dBm	OK
19/10/2017 13:04:57	     1.948 MHz	 11.7 V/m	 -1.9 dBm	OK
19/10/2017 13:05:01	     1.967 MHz	 11.7 V/m	 -2.1 dBm	OK
19/10/2017 13:05:05	     1.987 MHz	 11.7 V/m	 -2.2 dBm	OK
19/10/2017 13:05:09	     2.007 MHz	 11.7 V/m	 -2.4 dBm	OK
19/10/2017 13:05:13	     2.027 MHz	 11.7 V/m	 -2.6 dBm	OK
19/10/2017 13:05:17	     2.047 MHz	 11.7 V/m	 -2.6 dBm	OK
19/10/2017 13:05:21	     2.068 MHz	 11.7 V/m	 -2.9 dBm	OK
19/10/2017 13:05:24	     2.088 MHz	 11.7 V/m	 -2.9 dBm	OK
19/10/2017 13:05:28	     2.109 MHz	 11.7 V/m	 -3.0 dBm	OK
19/10/2017 13:05:32	     2.130 MHz	 11.7 V/m	 -3.1 dBm	OK
19/10/2017 13:05:36	     2.152 MHz	 11.7 V/m	 -3.3 dBm	OK
19/10/2017 13:05:39	     2.173 MHz	 11.7 V/m	 -3.3 dBm	OK
19/10/2017 13:05:43	     2.195 MHz	 11.7 V/m	 -3.4 dBm	OK
19/10/2017 13:05:47	     2.217 MHz	 11.7 V/m	 -3.5 dBm	OK
19/10/2017 13:05:51	     2.239 MHz	 11.7 V/m	 -3.6 dBm	OK
19/10/2017 13:05:54	     2.261 MHz	 11.7 V/m	 -3.6 dBm	OK
19/10/2017 13:05:58	     2.284 MHz	 11.7 V/m	 -3.7 dBm	OK
19/10/2017 13:06:02	     2.307 MHz	 11.7 V/m	 -3.9 dBm	OK
19/10/2017 13:06:05	     2.330 MHz	 11.7 V/m	 -3.9 dBm	OK
19/10/2017 13:06:09	     2.353 MHz	 11.7 V/m	 -3.9 dBm	OK
19/10/2017 13:06:13	     2.377 MHz	 11.7 V/m	 -4.0 dBm	OK
19/10/2017 13:06:17	     2.400 MHz	 11.7 V/m	 -4.1 dBm	OK
19/10/2017 13:06:20	     2.424 MHz	 11.7 V/m	 -4.1 dBm	OK
19/10/2017 13:06:24	     2.449 MHz	 11.7 V/m	 -4.2 dBm	OK
19/10/2017 13:06:28	     2.473 MHz	 11.7 V/m	 -4.4 dBm	OK
19/10/2017 13:06:31	     2.498 MHz	 11.7 V/m	 -4.4 dBm	OK
19/10/2017 13:06:34	     2.523 MHz	 11.7 V/m	 -4.4 dBm	OK
19/10/2017 13:06:38	     2.548 MHz	 11.7 V/m	 -4.5 dBm	OK
19/10/2017 13:06:42	     2.574 MHz	 11.7 V/m	 -4.6 dBm	OK
19/10/2017 13:06:46	     2.599 MHz	 11.7 V/m	 -4.7 dBm	OK
19/10/2017 13:06:50	     2.625 MHz	 11.7 V/m	 -4.8 dBm	OK
19/10/2017 13:06:54	     2.652 MHz	 11.7 V/m	 -4.9 dBm	OK
19/10/2017 13:06:58	     2.678 MHz	 11.7 V/m	 -5.0 dBm	OK
19/10/2017 13:07:02	     2.705 MHz	 11.7 V/m	 -5.1 dBm	OK
19/10/2017 13:07:05	     2.732 MHz	 11.7 V/m	 -5.1 dBm	OK
19/10/2017 13:07:09	     2.759 MHz	 11.7 V/m	 -5.2 dBm	OK
19/10/2017 13:07:13	     2.787 MHz	 11.7 V/m	 -5.3 dBm	OK
19/10/2017 13:07:17	     2.815 MHz	 11.7 V/m	 -5.4 dBm	OK
19/10/2017 13:07:21	     2.843 MHz	 11.7 V/m	 -5.5 dBm	OK
19/10/2017 13:07:25	     2.871 MHz	 11.7 V/m	 -5.6 dBm	OK
19/10/2017 13:07:29	     2.900 MHz	 11.7 V/m	 -5.7 dBm	OK
19/10/2017 13:07:33	     2.929 MHz	 11.7 V/m	 -5.8 dBm	OK
19/10/2017 13:07:36	     2.958 MHz	 11.7 V/m	 -5.8 dBm	OK
19/10/2017 13:07:40	     2.988 MHz	 11.7 V/m	 -5.9 dBm	OK
19/10/2017 13:07:44	     3.018 MHz	 11.7 V/m	 -6.0 dBm	OK
