12/08/2016 11:21:14	     0.820 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:17	     0.830 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:20	     0.840 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:23	     0.850 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:26	     0.860 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:29	     0.870 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:32	     0.880 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:35	     0.890 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:38	     0.900 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:41	     0.910 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:44	     0.920 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:48	     0.930 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:51	     0.940 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:54	     0.950 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:57	     0.960 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:22:00	     0.970 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:22:03	     0.980 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:22:07	     0.990 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:22:10	     1.000 MHz	 11.2 V/m	-21.7 dBm	OK
