13/02/2018 13:34:20	    96.213 MHz	 15.8 V/m	 -8.1 dBm	OK	IP0: 28837	IP2: 119	IP3: 123	(11.11 V/m)	Digital: 0XEF
13/02/2018 13:34:26	    96.694 MHz	 15.2 V/m	 -8.2 dBm	OK	IP0: 28828	IP2: 120	IP3: 118	(11.12 V/m)	Digital: 0XEF
13/02/2018 13:34:32	    97.178 MHz	 15.0 V/m	 -8.1 dBm	OK	IP0: 28955	IP2: 117	IP3: 124	(11.15 V/m)	Digital: 0XEF
13/02/2018 13:34:38	    97.664 MHz	 14.8 V/m	 -8.1 dBm	OK	IP0: 28951	IP2: 124	IP3: 119	(11.12 V/m)	Digital: 0XEF
13/02/2018 13:34:44	    98.152 MHz	 14.8 V/m	 -8.1 dBm	OK	IP0: 29070	IP2: 117	IP3: 123	(11.12 V/m)	Digital: 0XEF
13/02/2018 13:34:50	    98.643 MHz	 14.4 V/m	 -8.1 dBm	OK	IP0: 29113	IP2: 121	IP3: 121	(11.15 V/m)	Digital: 0XEF
13/02/2018 13:34:56	    99.136 MHz	 13.9 V/m	 -8.2 dBm	OK	IP0: 29128	IP2: 120	IP3: 121	(11.13 V/m)	Digital: 0XEF
13/02/2018 13:35:03	    99.632 MHz	 13.3 V/m	 -8.3 dBm	OK	IP0: 29127	IP2: 122	IP3: 122	(11.11 V/m)	Digital: 0XEF
13/02/2018 13:35:08	   100.130 MHz	 13.4 V/m	 -8.1 dBm	OK	IP0: 29285	IP2: 120	IP3: 118	(11.18 V/m)	Digital: 0XEF
13/02/2018 13:35:14	   100.630 MHz	 12.3 V/m	 -8.4 dBm	OK	IP0: 29222	IP2: 123	IP3: 119	(11.12 V/m)	Digital: 0XEF
13/02/2018 13:35:20	   101.133 MHz	 11.7 V/m	 -8.6 dBm	OK	IP0: 29140	IP2: 118	IP3: 123	(11.16 V/m)	Digital: 0XEF
13/02/2018 13:35:26	   101.639 MHz	 11.3 V/m	 -8.7 dBm	OK	IP0: 29163	IP2: 124	IP3: 122	(11.17 V/m)	Digital: 0XEF
13/02/2018 13:35:32	   102.147 MHz	 11.0 V/m	 -8.9 dBm	OK	IP0: 29041	IP2: 120	IP3: 122	(11.19 V/m)	Digital: 0XEF
