06/05/2016 13:59:30	     0.860 MHz	 10.5 V/m	-12.0 dBm	OK
06/05/2016 13:59:34	     0.870 MHz	 10.4 V/m	-12.0 dBm	OK
06/05/2016 13:59:37	     0.880 MHz	 10.4 V/m	-12.0 dBm	OK
06/05/2016 13:59:41	     0.890 MHz	 10.4 V/m	-12.0 dBm	OK
06/05/2016 13:59:44	     0.900 MHz	 10.4 V/m	-12.0 dBm	OK
06/05/2016 13:59:48	     0.910 MHz	 10.4 V/m	-12.0 dBm	OK
06/05/2016 13:59:51	     0.920 MHz	 10.4 V/m	-12.0 dBm	OK
06/05/2016 13:59:52	     0.930 MHz	 10.4 V/m	-12.1 dBm	FAIL (LIMIT)
06/05/2016 13:59:55	     0.940 MHz	 10.0 V/m	-12.0 dBm	FAIL (LIMIT)
06/05/2016 13:59:59	     0.950 MHz	 10.0 V/m	-12.0 dBm	FAIL (LIMIT)
06/05/2016 14:00:03	     0.960 MHz	 10.0 V/m	-12.0 dBm	FAIL (LIMIT)
06/05/2016 14:00:07	     0.970 MHz	 10.0 V/m	-12.0 dBm	FAIL (LIMIT)
06/05/2016 14:00:11	     0.980 MHz	 10.0 V/m	-12.0 dBm	FAIL (LIMIT)
06/05/2016 14:00:14	     0.990 MHz	 10.0 V/m	-12.0 dBm	FAIL (LIMIT)
06/05/2016 14:00:18	     1.000 MHz	  9.9 V/m	-12.0 dBm	FAIL (LIMIT)
