16/02/2016 10:33:11	    25.000 MHz	 10.4 V/m	 -9.6 dBm	OK
16/02/2016 10:33:15	    25.125 MHz	 10.4 V/m	 -9.4 dBm	OK
16/02/2016 10:33:19	    25.251 MHz	 10.4 V/m	 -9.2 dBm	OK
16/02/2016 10:33:22	    25.377 MHz	 10.4 V/m	 -9.2 dBm	OK
16/02/2016 10:33:25	    25.504 MHz	 10.4 V/m	 -9.2 dBm	OK
16/02/2016 10:33:29	    25.631 MHz	 10.4 V/m	 -9.2 dBm	OK
16/02/2016 10:33:32	    25.759 MHz	 10.5 V/m	 -9.2 dBm	OK
16/02/2016 10:33:35	    25.888 MHz	 10.7 V/m	 -9.2 dBm	OK
16/02/2016 10:33:38	    26.018 MHz	 11.0 V/m	 -9.2 dBm	OK
16/02/2016 10:33:41	    26.148 MHz	 11.2 V/m	 -9.2 dBm	OK
16/02/2016 10:33:45	    26.279 MHz	 11.4 V/m	 -9.2 dBm	OK
16/02/2016 10:33:49	    26.410 MHz	 11.4 V/m	 -9.3 dBm	OK
16/02/2016 10:33:53	    26.542 MHz	 11.4 V/m	 -9.4 dBm	OK
16/02/2016 10:33:57	    26.675 MHz	 11.4 V/m	 -9.6 dBm	OK
16/02/2016 10:34:00	    26.808 MHz	 11.4 V/m	 -9.6 dBm	OK
16/02/2016 10:34:04	    26.942 MHz	 11.4 V/m	 -9.8 dBm	OK
16/02/2016 10:34:07	    27.077 MHz	 11.4 V/m	 -9.8 dBm	OK
16/02/2016 10:34:11	    27.212 MHz	 11.4 V/m	-10.0 dBm	OK
16/02/2016 10:34:14	    27.348 MHz	 11.4 V/m	-10.0 dBm	OK
16/02/2016 10:34:17	    27.485 MHz	 11.4 V/m	-10.0 dBm	OK
16/02/2016 10:34:21	    27.622 MHz	 11.4 V/m	-10.0 dBm	OK
16/02/2016 10:34:24	    27.761 MHz	 11.2 V/m	-10.0 dBm	OK
16/02/2016 10:34:28	    27.899 MHz	 10.7 V/m	-10.0 dBm	OK
16/02/2016 10:34:31	    28.039 MHz	 10.5 V/m	-10.0 dBm	OK
16/02/2016 10:34:35	    28.179 MHz	 10.5 V/m	 -9.6 dBm	OK
16/02/2016 10:34:39	    28.320 MHz	 10.4 V/m	 -9.4 dBm	OK
16/02/2016 10:34:43	    28.461 MHz	 10.4 V/m	 -9.0 dBm	OK
16/02/2016 10:34:47	    28.604 MHz	 10.5 V/m	 -8.6 dBm	OK
16/02/2016 10:34:51	    28.747 MHz	 10.4 V/m	 -8.4 dBm	OK
16/02/2016 10:34:55	    28.891 MHz	 10.4 V/m	 -8.4 dBm	OK
16/02/2016 10:34:59	    29.035 MHz	 10.4 V/m	 -8.2 dBm	OK
16/02/2016 10:35:02	    29.180 MHz	 10.4 V/m	 -8.2 dBm	OK
16/02/2016 10:35:06	    29.326 MHz	 10.4 V/m	 -8.2 dBm	OK
16/02/2016 10:35:10	    29.473 MHz	 10.4 V/m	 -8.0 dBm	OK
16/02/2016 10:35:13	    29.620 MHz	 10.4 V/m	 -8.0 dBm	OK
16/02/2016 10:35:16	    29.768 MHz	 10.4 V/m	 -8.0 dBm	OK
16/02/2016 10:35:19	    29.917 MHz	 10.4 V/m	 -8.0 dBm	OK
16/02/2016 10:35:22	    30.067 MHz	 10.4 V/m	 -8.0 dBm	OK
16/02/2016 10:35:26	    30.217 MHz	 10.4 V/m	 -7.8 dBm	OK
16/02/2016 10:35:30	    30.368 MHz	 10.5 V/m	 -7.6 dBm	OK
16/02/2016 10:35:34	    30.520 MHz	 10.4 V/m	 -7.6 dBm	OK
16/02/2016 10:35:38	    30.672 MHz	 10.4 V/m	 -7.4 dBm	OK
16/02/2016 10:35:42	    30.826 MHz	 10.4 V/m	 -7.2 dBm	OK
16/02/2016 10:35:45	    30.980 MHz	 10.4 V/m	 -7.2 dBm	OK
16/02/2016 10:35:49	    31.135 MHz	 10.4 V/m	 -7.0 dBm	OK
16/02/2016 10:35:52	    31.291 MHz	 10.4 V/m	 -7.0 dBm	OK
16/02/2016 10:35:55	    31.447 MHz	 10.4 V/m	 -7.0 dBm	OK
16/02/2016 10:35:59	    31.604 MHz	 10.4 V/m	 -6.8 dBm	OK
16/02/2016 10:36:03	    31.762 MHz	 10.4 V/m	 -6.6 dBm	OK
16/02/2016 10:36:07	    31.921 MHz	 10.5 V/m	 -6.4 dBm	OK
16/02/2016 10:36:11	    32.081 MHz	 10.4 V/m	 -6.2 dBm	OK
16/02/2016 10:36:15	    32.241 MHz	 10.4 V/m	 -6.2 dBm	OK
16/02/2016 10:36:19	    32.402 MHz	 10.5 V/m	 -5.8 dBm	OK
16/02/2016 10:36:22	    32.564 MHz	 10.4 V/m	 -5.8 dBm	OK
16/02/2016 10:36:26	    32.727 MHz	 10.4 V/m	 -5.6 dBm	OK
16/02/2016 10:36:29	    32.891 MHz	 10.4 V/m	 -5.6 dBm	OK
16/02/2016 10:36:33	    33.055 MHz	 10.4 V/m	 -5.4 dBm	OK
16/02/2016 10:36:36	    33.220 MHz	 10.4 V/m	 -5.4 dBm	OK
16/02/2016 10:36:40	    33.387 MHz	 10.4 V/m	 -5.2 dBm	OK
16/02/2016 10:36:43	    33.553 MHz	 10.4 V/m	 -5.2 dBm	OK
16/02/2016 10:54:34	    33.721 MHz	 10.4 V/m	 -2.2 dBm	FAIL (LIMIT)
