01/12/2016 12:41:33	    27.000 MHz	 10.5 V/m	 -8.4 dBm	OK
01/12/2016 12:41:37	    27.135 MHz	 10.4 V/m	 -8.2 dBm	OK
01/12/2016 12:41:41	    27.271 MHz	 10.5 V/m	 -7.6 dBm	OK
01/12/2016 12:41:44	    27.407 MHz	 10.4 V/m	 -7.6 dBm	OK
01/12/2016 12:41:48	    27.544 MHz	 10.5 V/m	 -7.2 dBm	OK
01/12/2016 12:41:52	    27.682 MHz	 10.5 V/m	 -7.0 dBm	OK
01/12/2016 12:41:56	    27.820 MHz	 10.4 V/m	 -7.0 dBm	OK
01/12/2016 12:42:00	    27.959 MHz	 10.7 V/m	 -6.6 dBm	OK
01/12/2016 12:42:03	    28.099 MHz	 10.5 V/m	 -6.6 dBm	OK
01/12/2016 12:42:07	    28.240 MHz	 10.7 V/m	 -6.6 dBm	OK
01/12/2016 12:42:10	    28.381 MHz	 10.7 V/m	 -6.6 dBm	OK
01/12/2016 12:42:13	    28.523 MHz	 11.2 V/m	 -6.6 dBm	OK
01/12/2016 12:42:17	    28.665 MHz	 11.4 V/m	 -6.6 dBm	OK
01/12/2016 12:42:21	    28.809 MHz	 11.4 V/m	 -6.9 dBm	OK
01/12/2016 12:42:25	    28.953 MHz	 11.2 V/m	 -7.5 dBm	OK
01/12/2016 12:42:29	    29.097 MHz	 11.4 V/m	 -7.8 dBm	OK
01/12/2016 12:42:34	    29.243 MHz	 11.2 V/m	 -8.3 dBm	OK
01/12/2016 12:42:38	    29.389 MHz	 11.4 V/m	 -8.6 dBm	OK
01/12/2016 12:42:42	    29.536 MHz	 11.4 V/m	 -9.0 dBm	OK
01/12/2016 12:42:46	    29.684 MHz	 11.2 V/m	 -9.5 dBm	OK
01/12/2016 12:42:50	    29.832 MHz	 11.4 V/m	 -9.5 dBm	OK
01/12/2016 12:42:53	    29.981 MHz	 11.4 V/m	 -9.5 dBm	OK
01/12/2016 12:42:57	    30.131 MHz	 11.2 V/m	 -9.5 dBm	OK
01/12/2016 12:43:00	    30.282 MHz	 11.0 V/m	 -9.5 dBm	OK
01/12/2016 12:43:04	    30.433 MHz	 10.7 V/m	 -9.5 dBm	OK
01/12/2016 12:43:08	    30.585 MHz	 10.4 V/m	 -9.5 dBm	OK
01/12/2016 12:43:12	    30.738 MHz	 10.4 V/m	 -9.1 dBm	OK
01/12/2016 12:43:16	    30.892 MHz	 10.5 V/m	 -8.7 dBm	OK
01/12/2016 12:43:20	    31.047 MHz	 10.5 V/m	 -8.3 dBm	OK
01/12/2016 12:43:23	    31.202 MHz	 10.4 V/m	 -8.3 dBm	OK
01/12/2016 12:43:26	    31.358 MHz	 10.4 V/m	 -8.3 dBm	OK
01/12/2016 12:43:29	    31.515 MHz	 10.4 V/m	 -8.3 dBm	OK
01/12/2016 12:43:32	    31.672 MHz	 10.4 V/m	 -8.3 dBm	OK
01/12/2016 12:43:35	    31.831 MHz	 10.5 V/m	 -8.3 dBm	OK
01/12/2016 12:43:38	    31.990 MHz	 10.7 V/m	 -8.3 dBm	OK
01/12/2016 12:43:42	    32.150 MHz	 11.0 V/m	 -8.3 dBm	OK
