14/09/2017 16:08:08	    70.000 MHz	 10.5 V/m	 -9.3 dBm	OK
14/09/2017 16:08:11	    70.350 MHz	 10.7 V/m	 -9.3 dBm	OK
14/09/2017 16:08:14	    70.702 MHz	 11.0 V/m	 -9.3 dBm	OK
14/09/2017 16:08:17	    71.055 MHz	 11.2 V/m	 -9.3 dBm	OK
14/09/2017 16:08:20	    71.411 MHz	 11.4 V/m	 -9.3 dBm	OK
14/09/2017 16:08:23	    71.768 MHz	 11.4 V/m	 -9.3 dBm	OK
14/09/2017 16:08:26	    72.126 MHz	 11.4 V/m	 -9.3 dBm	OK
14/09/2017 16:08:29	    72.487 MHz	 11.2 V/m	 -9.3 dBm	OK
14/09/2017 16:08:33	    72.849 MHz	 10.7 V/m	 -9.3 dBm	OK
14/09/2017 16:08:36	    73.214 MHz	 10.5 V/m	 -9.3 dBm	OK
14/09/2017 16:08:39	    73.580 MHz	 10.5 V/m	 -9.3 dBm	OK
14/09/2017 16:08:42	    73.948 MHz	 10.7 V/m	 -9.3 dBm	OK
14/09/2017 16:08:45	    74.317 MHz	 11.2 V/m	 -9.3 dBm	OK
14/09/2017 16:08:48	    74.689 MHz	 11.4 V/m	 -9.3 dBm	OK
14/09/2017 16:08:52	    75.062 MHz	 11.4 V/m	 -9.6 dBm	OK
14/09/2017 16:08:56	    75.438 MHz	 11.4 V/m	-10.0 dBm	OK
14/09/2017 16:08:59	    75.815 MHz	 11.4 V/m	-10.0 dBm	OK
14/09/2017 16:09:02	    76.194 MHz	 11.2 V/m	-10.0 dBm	OK
14/09/2017 16:09:05	    76.575 MHz	 10.7 V/m	-10.0 dBm	OK
14/09/2017 16:09:08	    76.958 MHz	 10.5 V/m	-10.0 dBm	OK
14/09/2017 16:09:11	    77.343 MHz	 10.5 V/m	-10.0 dBm	OK
14/09/2017 16:09:15	    77.729 MHz	 10.4 V/m	-10.0 dBm	OK
14/09/2017 16:09:19	    78.118 MHz	 11.2 V/m	-10.0 dBm	OK
14/09/2017 16:09:22	    78.509 MHz	 11.4 V/m	-10.0 dBm	OK
14/09/2017 16:09:26	    78.901 MHz	 11.2 V/m	-10.3 dBm	OK
14/09/2017 16:09:29	    79.296 MHz	 11.2 V/m	-10.3 dBm	OK
14/09/2017 16:09:32	    79.692 MHz	 11.0 V/m	-10.3 dBm	OK
14/09/2017 16:09:35	    80.091 MHz	 10.5 V/m	-10.3 dBm	OK
14/09/2017 16:09:39	    80.491 MHz	 10.4 V/m	-10.1 dBm	OK
14/09/2017 16:09:42	    80.894 MHz	 10.5 V/m	-10.1 dBm	OK
14/09/2017 16:09:45	    81.298 MHz	 10.5 V/m	-10.1 dBm	OK
14/09/2017 16:09:48	    81.704 MHz	 10.7 V/m	-10.1 dBm	OK
14/09/2017 16:09:52	    82.113 MHz	 11.2 V/m	-10.1 dBm	OK
14/09/2017 16:09:56	    82.524 MHz	 11.4 V/m	-10.2 dBm	OK
14/09/2017 16:10:00	    82.936 MHz	 11.4 V/m	-10.3 dBm	OK
14/09/2017 16:10:03	    83.351 MHz	 11.4 V/m	-10.3 dBm	OK
14/09/2017 16:10:06	    83.768 MHz	 11.2 V/m	-10.3 dBm	OK
14/09/2017 16:10:10	    84.186 MHz	 10.5 V/m	-10.3 dBm	OK
14/09/2017 16:10:13	    84.607 MHz	 10.7 V/m	-10.3 dBm	OK
14/09/2017 16:10:16	    85.030 MHz	 11.0 V/m	-10.3 dBm	OK
14/09/2017 16:10:20	    85.456 MHz	 11.4 V/m	-10.3 dBm	OK
14/09/2017 16:10:24	    85.883 MHz	 11.4 V/m	-10.6 dBm	OK
14/09/2017 16:10:28	    86.312 MHz	 11.4 V/m	-10.9 dBm	OK
14/09/2017 16:10:31	    86.744 MHz	 11.4 V/m	-10.9 dBm	OK
14/09/2017 16:10:34	    87.178 MHz	 11.4 V/m	-10.9 dBm	OK
14/09/2017 16:10:37	    87.613 MHz	 11.2 V/m	-10.9 dBm	OK
14/09/2017 16:10:40	    88.052 MHz	 11.0 V/m	-10.9 dBm	OK
14/09/2017 16:10:43	    88.492 MHz	 11.0 V/m	-10.9 dBm	OK
14/09/2017 16:10:46	    88.934 MHz	 11.2 V/m	-10.9 dBm	OK
14/09/2017 16:10:50	    89.379 MHz	 11.4 V/m	-10.9 dBm	OK
14/09/2017 16:10:54	    89.826 MHz	 11.4 V/m	-11.1 dBm	OK
14/09/2017 16:10:57	    90.275 MHz	 11.4 V/m	-11.1 dBm	OK
14/09/2017 16:11:00	    90.726 MHz	 11.2 V/m	-11.1 dBm	OK
