03/05/2016 16:25:07	     0.680 MHz	 11.2 V/m	-16.8 dBm	OK	IP0: 209	Digital: 0XFF
03/05/2016 16:25:11	     0.690 MHz	 11.2 V/m	-16.8 dBm	OK	IP0: 218	Digital: 0XFF
03/05/2016 16:25:15	     0.700 MHz	 11.2 V/m	-16.8 dBm	OK	IP0: 222	Digital: 0XFF
03/05/2016 16:25:19	     0.710 MHz	 11.2 V/m	-16.8 dBm	OK	IP0: 191	Digital: 0XFF
03/05/2016 16:25:23	     0.720 MHz	 11.2 V/m	-16.8 dBm	OK	IP0: 217	Digital: 0XFF
03/05/2016 16:25:27	     0.730 MHz	 11.2 V/m	-16.8 dBm	OK	IP0: 201	Digital: 0XFF
03/05/2016 16:25:31	     0.740 MHz	 11.2 V/m	-16.8 dBm	OK	IP0: 200	Digital: 0XFF
03/05/2016 16:25:35	     0.750 MHz	 11.2 V/m	-16.8 dBm	OK	IP0: 224	Digital: 0XFF
03/05/2016 16:25:39	     0.760 MHz	 11.0 V/m	-16.8 dBm	OK	IP0: 196	Digital: 0XFF
03/05/2016 16:25:43	     0.770 MHz	 11.0 V/m	-16.8 dBm	OK	IP0: 218	Digital: 0XFF
03/05/2016 16:25:47	     0.780 MHz	 11.0 V/m	-16.8 dBm	OK	IP0: 190	Digital: 0XFF
03/05/2016 16:25:51	     0.790 MHz	 11.0 V/m	-16.8 dBm	OK	IP0: 213	Digital: 0XFF
03/05/2016 16:25:55	     0.800 MHz	 11.0 V/m	-16.8 dBm	OK	IP0: 216	Digital: 0XFF
03/05/2016 16:25:59	     0.810 MHz	 11.0 V/m	-16.8 dBm	OK	IP0: 190	Digital: 0XFF
03/05/2016 16:26:03	     0.820 MHz	 11.0 V/m	-16.8 dBm	OK	IP0: 202	Digital: 0XFF
03/05/2016 16:26:07	     0.830 MHz	 11.0 V/m	-16.8 dBm	OK	IP0: 221	Digital: 0XFF
03/05/2016 16:26:11	     0.840 MHz	 11.0 V/m	-16.8 dBm	OK	IP0: 197	Digital: 0XFF
03/05/2016 16:26:15	     0.850 MHz	 10.7 V/m	-16.8 dBm	OK	IP0: 215	Digital: 0XFF
03/05/2016 16:26:19	     0.860 MHz	 10.7 V/m	-16.8 dBm	OK	IP0: 191	Digital: 0XFF
03/05/2016 16:26:23	     0.870 MHz	 10.7 V/m	-16.8 dBm	OK	IP0: 194	Digital: 0XFF
03/05/2016 16:26:27	     0.880 MHz	 10.7 V/m	-16.8 dBm	OK	IP0: 215	Digital: 0XFF
