19/02/2018 16:08:31	    96.213 MHz	 15.3 V/m	 -9.0 dBm	OK	IP0: 28817	IP2: 89	IP3: 113	(11.15 V/m)	Digital: 0XEF
19/02/2018 16:08:37	    96.694 MHz	 15.1 V/m	 -9.1 dBm	OK	IP0: 28789	IP2: 87	IP3: 113	(11.15 V/m)	Digital: 0XEF
19/02/2018 16:08:44	    97.178 MHz	 15.2 V/m	 -9.0 dBm	OK	IP0: 28934	IP2: 93	IP3: 111	(11.11 V/m)	Digital: 0XEF
19/02/2018 16:08:50	    97.664 MHz	 15.0 V/m	 -9.1 dBm	OK	IP0: 28920	IP2: 91	IP3: 111	(11.12 V/m)	Digital: 0XEF
19/02/2018 16:08:55	    98.152 MHz	 15.5 V/m	 -9.0 dBm	OK	IP0: 29048	IP2: 90	IP3: 111	(11.14 V/m)	Digital: 0XEF
19/02/2018 16:09:01	    98.643 MHz	 14.9 V/m	 -9.1 dBm	OK	IP0: 29030	IP2: 96	IP3: 112	(11.14 V/m)	Digital: 0XEF
19/02/2018 16:09:07	    99.136 MHz	 14.9 V/m	 -9.0 dBm	OK	IP0: 29165	IP2: 90	IP3: 112	(11.12 V/m)	Digital: 0XEF
19/02/2018 16:09:13	    99.632 MHz	 14.9 V/m	 -9.0 dBm	OK	IP0: 29149	IP2: 90	IP3: 111	(11.13 V/m)	Digital: 0XEF
19/02/2018 16:09:19	   100.130 MHz	 14.9 V/m	 -8.9 dBm	OK	IP0: 29275	IP2: 90	IP3: 111	(11.14 V/m)	Digital: 0XEF
19/02/2018 16:09:25	   100.630 MHz	 14.5 V/m	 -9.2 dBm	OK	IP0: 29174	IP2: 90	IP3: 110	(11.17 V/m)	Digital: 0XEF
19/02/2018 16:09:31	   101.133 MHz	 14.2 V/m	 -9.3 dBm	OK	IP0: 29187	IP2: 96	IP3: 110	(11.18 V/m)	Digital: 0XEF
19/02/2018 16:09:37	   101.639 MHz	 13.8 V/m	 -9.5 dBm	OK	IP0: 29090	IP2: 91	IP3: 110	(11.17 V/m)	Digital: 0XEF
19/02/2018 16:09:43	   102.147 MHz	 13.5 V/m	 -9.7 dBm	OK	IP0: 29099	IP2: 86	IP3: 108	(11.19 V/m)	Digital: 0XEF
19/02/2018 16:09:49	   102.658 MHz	 13.1 V/m	 -9.9 dBm	OK	IP0: 28991	IP2: 89	IP3: 111	(11.17 V/m)	Digital: 0XEF
19/02/2018 16:09:55	   103.171 MHz	 12.7 V/m	-10.1 dBm	OK	IP0: 28916	IP2: 85	IP3: 114	(11.09 V/m)	Digital: 0XEF
19/02/2018 16:10:01	   103.687 MHz	 12.5 V/m	-10.2 dBm	OK	IP0: 28919	IP2: 91	IP3: 112	(11.12 V/m)	Digital: 0XEF
19/02/2018 16:10:08	   104.206 MHz	 12.2 V/m	-10.4 dBm	OK	IP0: 28825	IP2: 91	IP3: 110	(11.18 V/m)	Digital: 0XEF
19/02/2018 16:10:14	   104.727 MHz	 11.9 V/m	-10.5 dBm	OK	IP0: 28801	IP2: 97	IP3: 110	(11.09 V/m)	Digital: 0XEF
19/02/2018 16:10:19	   105.250 MHz	 12.3 V/m	-10.4 dBm	OK	IP0: 28885	IP2: 84	IP3: 111	(11.13 V/m)	Digital: 0XEF
19/02/2018 16:10:25	   105.777 MHz	 11.7 V/m	-10.5 dBm	OK	IP0: 28820	IP2: 91	IP3: 110	(11.17 V/m)	Digital: 0XEF
19/02/2018 16:10:32	   106.305 MHz	 11.8 V/m	-10.5 dBm	OK	IP0: 28907	IP2: 93	IP3: 111	(11.14 V/m)	Digital: 0XEF
19/02/2018 16:10:38	   106.837 MHz	 11.6 V/m	-10.6 dBm	OK	IP0: 28841	IP2: 89	IP3: 112	(11.07 V/m)	Digital: 0XEF
19/02/2018 16:10:43	   107.371 MHz	 12.0 V/m	-10.5 dBm	OK	IP0: 28835	IP2: 88	IP3: 112	(11.14 V/m)	Digital: 0XEF
19/02/2018 16:10:49	   107.908 MHz	 11.8 V/m	-10.3 dBm	OK	IP0: 28906	IP2: 88	IP3: 110	(11.18 V/m)	Digital: 0XEF
19/02/2018 16:10:55	   108.448 MHz	 11.7 V/m	-10.3 dBm	OK	IP0: 28838	IP2: 93	IP3: 112	(11.15 V/m)	Digital: 0XEF
19/02/2018 16:11:01	   108.990 MHz	 11.7 V/m	-10.3 dBm	OK	IP0: 28875	IP2: 87	IP3: 110	(11.09 V/m)	Digital: 0XEF
19/02/2018 16:11:07	   109.535 MHz	 11.6 V/m	-10.3 dBm	OK	IP0: 28798	IP2: 85	IP3: 113	(11.18 V/m)	Digital: 0XEF
19/02/2018 16:11:13	   110.082 MHz	 11.7 V/m	-10.3 dBm	OK	IP0: 28881	IP2: 87	IP3: 112	(11.17 V/m)	Digital: 0XEF
19/02/2018 16:11:19	   110.633 MHz	 11.6 V/m	-10.2 dBm	OK	IP0: 28854	IP2: 87	IP3: 108	(11.09 V/m)	Digital: 0XEF
19/02/2018 16:11:25	   111.186 MHz	 11.4 V/m	-10.2 dBm	OK	IP0: 28845	IP2: 91	IP3: 109	(11.07 V/m)	Digital: 0XEF
19/02/2018 16:11:31	   111.742 MHz	 11.5 V/m	-10.1 dBm	OK	IP0: 28783	IP2: 82	IP3: 110	(11.14 V/m)	Digital: 0XEF
19/02/2018 16:11:37	   112.301 MHz	 11.4 V/m	-10.1 dBm	OK	IP0: 28764	IP2: 89	IP3: 109	(11.15 V/m)	Digital: 0XEF
19/02/2018 16:11:43	   112.862 MHz	 11.4 V/m	-10.1 dBm	OK	IP0: 28711	IP2: 85	IP3: 108	(11.15 V/m)	Digital: 0XEF
19/02/2018 16:11:49	   113.426 MHz	 11.1 V/m	-10.1 dBm	OK	IP0: 28600	IP2: 83	IP3: 110	(11.13 V/m)	Digital: 0XEF
19/02/2018 16:11:55	   113.994 MHz	 10.9 V/m	-10.1 dBm	OK	IP0: 28506	IP2: 87	IP3: 113	(11.12 V/m)	Digital: 0XEF
19/02/2018 16:12:01	   114.564 MHz	 10.6 V/m	-10.1 dBm	OK	IP0: 28415	IP2: 85	IP3: 112	(11.14 V/m)	Digital: 0XEF
19/02/2018 16:12:08	   115.136 MHz	 10.3 V/m	-10.1 dBm	OK	IP0: 28341	IP2: 90	IP3: 110	(11.13 V/m)	Digital: 0XEF
19/02/2018 16:12:14	   115.712 MHz	  9.9 V/m	-10.1 dBm	OK	IP0: 28289	IP2: 93	IP3: 113	(11.13 V/m)	Digital: 0XEF
19/02/2018 16:12:20	   116.291 MHz	  9.4 V/m	-10.3 dBm	OK	IP0: 28131	IP2: 85	IP3: 109	(11.11 V/m)	Digital: 0XEF
19/02/2018 16:12:26	   116.872 MHz	  9.0 V/m	-10.5 dBm	OK	IP0: 28032	IP2: 89	IP3: 110	(11.13 V/m)	Digital: 0XEF
19/02/2018 16:12:32	   117.456 MHz	  8.5 V/m	-10.7 dBm	OK	IP0: 27779	IP2: 86	IP3: 111	(11.13 V/m)	Digital: 0XEF
19/02/2018 16:12:38	   118.044 MHz	  8.4 V/m	-10.7 dBm	OK	IP0: 27752	IP2: 82	IP3: 110	(11.19 V/m)	Digital: 0XEF
19/02/2018 16:12:44	   118.634 MHz	  8.3 V/m	-11.0 dBm	OK	IP0: 27456	IP2: 83	IP3: 110	(11.11 V/m)	Digital: 0XEF
19/02/2018 16:12:50	   119.227 MHz	  8.5 V/m	-10.9 dBm	OK	IP0: 27378	IP2: 88	IP3: 111	(11.17 V/m)	Digital: 0XEF
19/02/2018 16:12:55	   119.823 MHz	  8.6 V/m	-10.9 dBm	OK	IP0: 27154	IP2: 91	IP3: 110	(11.18 V/m)	Digital: 0XEF
19/02/2018 16:13:01	   120.422 MHz	  8.7 V/m	-10.8 dBm	OK	IP0: 27048	IP2: 90	IP3: 109	(11.17 V/m)	Digital: 0XEF
19/02/2018 16:13:07	   121.024 MHz	  8.8 V/m	-10.9 dBm	OK	IP0: 26853	IP2: 88	IP3: 110	(11.19 V/m)	Digital: 0XEF
19/02/2018 16:13:13	   121.630 MHz	  8.9 V/m	-10.9 dBm	OK	IP0: 26631	IP2: 84	IP3: 111	(11.16 V/m)	Digital: 0XEF
19/02/2018 16:13:19	   122.238 MHz	  9.0 V/m	-10.9 dBm	OK	IP0: 26498	IP2: 86	IP3: 110	(11.16 V/m)	Digital: 0XEF
19/02/2018 16:13:25	   122.849 MHz	  8.6 V/m	-11.0 dBm	OK	IP0: 26350	IP2: 88	IP3: 108	(11.18 V/m)	Digital: 0XEF
19/02/2018 16:13:31	   123.463 MHz	  8.0 V/m	-11.2 dBm	OK	IP0: 26147	IP2: 88	IP3: 112	(11.18 V/m)	Digital: 0XEF
19/02/2018 16:13:37	   124.080 MHz	  7.3 V/m	-11.4 dBm	OK	IP0: 25982	IP2: 87	IP3: 111	(11.18 V/m)	Digital: 0XEF
19/02/2018 16:13:43	   124.701 MHz	  6.7 V/m	-11.2 dBm	OK	IP0: 26055	IP2: 90	IP3: 111	(11.11 V/m)	Digital: 0XEF
19/02/2018 16:13:48	   125.324 MHz	  6.7 V/m	-10.8 dBm	OK	IP0: 26221	IP2: 85	IP3: 108	(11.20 V/m)	Digital: 0XEF
19/02/2018 16:13:52	   125.951 MHz	  7.4 V/m	-10.6 dBm	OK	IP0: 26296	IP2: 87	IP3: 109	(11.13 V/m)	Digital: 0XEF
19/02/2018 16:13:56	   126.581 MHz	  7.8 V/m	-10.4 dBm	OK	IP0: 26414	IP2: 86	IP3: 110	(11.15 V/m)	Digital: 0XEF
19/02/2018 16:14:02	   127.214 MHz	  7.8 V/m	-10.2 dBm	OK	IP0: 26531	IP2: 89	IP3: 112	(11.17 V/m)	Digital: 0XEF
19/02/2018 16:14:17	   127.850 MHz	  8.3 V/m	-10.1 dBm	OK	IP0: 26607	IP2: 93	IP3: 110	(11.12 V/m)	Digital: 0XEF
19/02/2018 16:14:22	   128.489 MHz	  8.7 V/m	 -9.7 dBm	OK	IP0: 26920	IP2: 88	IP3: 110	(11.13 V/m)	Digital: 0XEF
19/02/2018 16:14:27	   129.131 MHz	  8.9 V/m	 -9.4 dBm	OK	IP0: 27273	IP2: 94	IP3: 111	(11.16 V/m)	Digital: 0XEF
19/02/2018 16:14:33	   129.777 MHz	  8.9 V/m	 -9.1 dBm	OK	IP0: 27630	IP2: 84	IP3: 110	(11.17 V/m)	Digital: 0XEF
19/02/2018 16:14:38	   130.426 MHz	  9.4 V/m	 -8.8 dBm	OK	IP0: 27972	IP2: 89	IP3: 111	(11.18 V/m)	Digital: 0XEF
19/02/2018 16:14:43	   131.078 MHz	  9.9 V/m	 -8.6 dBm	OK	IP0: 28254	IP2: 86	IP3: 112	(11.10 V/m)	Digital: 0XEF
19/02/2018 16:14:49	   131.733 MHz	 10.7 V/m	 -8.1 dBm	OK	IP0: 28640	IP2: 88	IP3: 112	(11.13 V/m)	Digital: 0XEF
19/02/2018 16:14:55	   132.392 MHz	 11.3 V/m	 -8.0 dBm	OK	IP0: 28862	IP2: 93	IP3: 111	(11.13 V/m)	Digital: 0XEF
19/02/2018 16:15:01	   133.054 MHz	 11.1 V/m	 -7.9 dBm	OK	IP0: 29013	IP2: 91	IP3: 109	(11.15 V/m)	Digital: 0XEF
19/02/2018 16:15:07	   133.719 MHz	 10.5 V/m	 -7.7 dBm	OK	IP0: 29185	IP2: 90	IP3: 110	(11.10 V/m)	Digital: 0XEF
19/02/2018 16:15:13	   134.388 MHz	 10.0 V/m	 -7.4 dBm	OK	IP0: 29410	IP2: 90	IP3: 114	(11.12 V/m)	Digital: 0XEF
19/02/2018 16:15:19	   135.060 MHz	  9.8 V/m	 -7.2 dBm	OK	IP0: 29589	IP2: 93	IP3: 109	(11.09 V/m)	Digital: 0XEF
19/02/2018 16:15:25	   135.735 MHz	  9.4 V/m	 -7.1 dBm	OK	IP0: 29755	IP2: 94	IP3: 111	(11.13 V/m)	Digital: 0XEF
19/02/2018 16:15:31	   136.414 MHz	  9.0 V/m	 -7.1 dBm	OK	IP0: 29764	IP2: 91	IP3: 109	(11.18 V/m)	Digital: 0XEF
19/02/2018 16:15:37	   137.096 MHz	  8.5 V/m	 -7.3 dBm	OK	IP0: 29666	IP2: 92	IP3: 109	(11.08 V/m)	Digital: 0XEF
19/02/2018 16:15:44	   137.781 MHz	  8.0 V/m	 -7.5 dBm	OK	IP0: 29615	IP2: 86	IP3: 111	(11.09 V/m)	Digital: 0XEF
19/02/2018 16:15:50	   138.470 MHz	  7.5 V/m	 -7.7 dBm	OK	IP0: 29533	IP2: 85	IP3: 111	(11.10 V/m)	Digital: 0XEF
19/02/2018 16:15:56	   139.163 MHz	  7.0 V/m	 -7.8 dBm	OK	IP0: 29475	IP2: 92	IP3: 110	(11.19 V/m)	Digital: 0XEF
19/02/2018 16:16:02	   139.859 MHz	  6.5 V/m	 -7.9 dBm	OK	IP0: 29387	IP2: 92	IP3: 108	(11.20 V/m)	Digital: 0XEF
19/02/2018 16:16:08	   140.558 MHz	  6.4 V/m	 -8.0 dBm	OK	IP0: 29284	IP2: 88	IP3: 111	(11.19 V/m)	Digital: 0XEF
19/02/2018 16:16:14	   141.261 MHz	  6.5 V/m	 -8.1 dBm	OK	IP0: 29195	IP2: 89	IP3: 113	(11.19 V/m)	Digital: 0XEF
19/02/2018 16:16:19	   141.967 MHz	  7.0 V/m	 -8.2 dBm	OK	IP0: 29119	IP2: 87	IP3: 110	(11.17 V/m)	Digital: 0XEF
19/02/2018 16:16:25	   142.677 MHz	  6.8 V/m	 -8.2 dBm	OK	IP0: 29043	IP2: 87	IP3: 114	(11.18 V/m)	Digital: 0XEF
19/02/2018 16:16:31	   143.390 MHz	  6.6 V/m	 -8.3 dBm	OK	IP0: 28928	IP2: 88	IP3: 112	(11.19 V/m)	Digital: 0XEF
19/02/2018 16:16:36	   144.107 MHz	  6.5 V/m	 -8.1 dBm	OK	IP0: 28826	IP2: 87	IP3: 110	(11.19 V/m)	Digital: 0XEF
19/02/2018 16:16:42	   144.828 MHz	  6.5 V/m	 -7.8 dBm	OK	IP0: 28821	IP2: 87	IP3: 113	(11.16 V/m)	Digital: 0XEF
19/02/2018 16:16:47	   145.552 MHz	  6.8 V/m	 -7.5 dBm	OK	IP0: 28793	IP2: 93	IP3: 109	(11.15 V/m)	Digital: 0XEF
19/02/2018 16:16:51	   146.279 MHz	  7.2 V/m	 -7.2 dBm	OK	IP0: 28793	IP2: 83	IP3: 110	(11.14 V/m)	Digital: 0XEF
19/02/2018 16:16:55	   147.011 MHz	  7.5 V/m	 -6.9 dBm	OK	IP0: 28751	IP2: 88	IP3: 110	(11.13 V/m)	Digital: 0XEF
19/02/2018 16:16:59	   147.746 MHz	  8.0 V/m	 -6.6 dBm	OK	IP0: 28704	IP2: 92	IP3: 110	(11.11 V/m)	Digital: 0XEF
19/02/2018 16:17:03	   148.485 MHz	  8.4 V/m	 -6.5 dBm	OK	IP0: 28625	IP2: 89	IP3: 113	(11.18 V/m)	Digital: 0XEF
19/02/2018 16:17:07	   149.227 MHz	  8.6 V/m	 -6.6 dBm	OK	IP0: 28404	IP2: 86	IP3: 113	(11.14 V/m)	Digital: 0XEF
19/02/2018 16:17:11	   149.973 MHz	  8.8 V/m	 -6.6 dBm	OK	IP0: 28211	IP2: 86	IP3: 109	(11.20 V/m)	Digital: 0XEF
19/02/2018 16:17:17	   150.723 MHz	  8.5 V/m	 -6.8 dBm	OK	IP0: 27874	IP2: 90	IP3: 111	(11.05 V/m)	Digital: 0XEF
19/02/2018 16:17:23	   151.477 MHz	  8.8 V/m	 -6.6 dBm	OK	IP0: 27684	IP2: 89	IP3: 112	(11.15 V/m)	Digital: 0XEF
19/02/2018 16:17:29	   152.234 MHz	  9.1 V/m	 -6.3 dBm	OK	IP0: 27567	IP2: 90	IP3: 110	(11.19 V/m)	Digital: 0XEF
19/02/2018 16:17:35	   152.995 MHz	  9.3 V/m	 -6.1 dBm	OK	IP0: 27522	IP2: 94	IP3: 110	(11.17 V/m)	Digital: 0XEF
19/02/2018 16:17:39	   153.760 MHz	 10.0 V/m	 -5.9 dBm	OK	IP0: 27455	IP2: 81	IP3: 110	(11.19 V/m)	Digital: 0XEF
19/02/2018 16:17:45	   154.529 MHz	  9.7 V/m	 -6.0 dBm	OK	IP0: 27302	IP2: 85	IP3: 110	(11.12 V/m)	Digital: 0XEF
19/02/2018 16:17:52	   155.302 MHz	  9.8 V/m	 -6.2 dBm	OK	IP0: 27213	IP2: 83	IP3: 110	(11.16 V/m)	Digital: 0XEF
19/02/2018 16:17:58	   156.078 MHz	 10.0 V/m	 -6.4 dBm	OK	IP0: 27129	IP2: 89	IP3: 108	(11.15 V/m)	Digital: 0XEF
19/02/2018 16:18:03	   156.859 MHz	 10.7 V/m	 -6.2 dBm	OK	IP0: 27233	IP2: 85	IP3: 113	(11.20 V/m)	Digital: 0XEF
19/02/2018 16:18:09	   157.643 MHz	 10.8 V/m	 -6.1 dBm	OK	IP0: 27224	IP2: 93	IP3: 110	(11.13 V/m)	Digital: 0XEF
19/02/2018 16:18:15	   158.431 MHz	 11.1 V/m	 -5.9 dBm	OK	IP0: 27320	IP2: 83	IP3: 110	(11.13 V/m)	Digital: 0XEF
19/02/2018 16:18:21	   159.223 MHz	 11.3 V/m	 -5.8 dBm	OK	IP0: 27496	IP2: 87	IP3: 111	(11.15 V/m)	Digital: 0XEF
19/02/2018 16:18:27	   160.019 MHz	 11.3 V/m	 -5.9 dBm	OK	IP0: 27672	IP2: 88	IP3: 110	(11.17 V/m)	Digital: 0XEF
19/02/2018 16:18:31	   160.819 MHz	 12.0 V/m	 -5.7 dBm	OK	IP0: 27893	IP2: 89	IP3: 109	(11.15 V/m)	Digital: 0XEF
19/02/2018 16:18:37	   161.624 MHz	 11.6 V/m	 -5.7 dBm	OK	IP0: 28119	IP2: 85	IP3: 110	(11.16 V/m)	Digital: 0XEF
19/02/2018 16:18:43	   162.432 MHz	 11.8 V/m	 -5.6 dBm	OK	IP0: 28326	IP2: 82	IP3: 109	(11.16 V/m)	Digital: 0XEF
19/02/2018 16:18:49	   163.244 MHz	 12.1 V/m	 -5.7 dBm	OK	IP0: 28515	IP2: 86	IP3: 110	(11.13 V/m)	Digital: 0XEF
19/02/2018 16:18:55	   164.060 MHz	 12.8 V/m	 -5.5 dBm	OK	IP0: 28734	IP2: 84	IP3: 111	(11.18 V/m)	Digital: 0XEF
19/02/2018 16:19:01	   164.880 MHz	 13.9 V/m	 -5.0 dBm	OK	IP0: 28971	IP2: 85	IP3: 112	(11.18 V/m)	Digital: 0XEF
19/02/2018 16:19:07	   165.705 MHz	 15.2 V/m	 -4.4 dBm	OK	IP0: 29265	IP2: 80	IP3: 110	(11.19 V/m)	Digital: 0XEF
19/02/2018 16:19:12	   166.533 MHz	 16.5 V/m	 -3.7 dBm	OK	IP0: 29575	IP2: 88	IP3: 111	(11.16 V/m)	Digital: 0XEF
19/02/2018 16:19:17	   167.366 MHz	 18.1 V/m	 -3.0 dBm	OK	IP0: 29894	IP2: 90	IP3: 111	(11.16 V/m)	Digital: 0XEF
19/02/2018 16:19:22	   168.203 MHz	 19.8 V/m	 -2.2 dBm	OK	IP0: 30254	IP2: 85	IP3: 109	(11.19 V/m)	Digital: 0XEF
19/02/2018 16:19:27	   169.044 MHz	 21.6 V/m	 -1.3 dBm	OK	IP0: 30584	IP2: 89	IP3: 110	(11.19 V/m)	Digital: 0XEF
19/02/2018 16:19:32	   169.889 MHz	 23.6 V/m	 -0.3 dBm	OK	IP0: 30892	IP2: 83	IP3: 110	(11.15 V/m)	Digital: 0XEF
19/02/2018 16:19:37	   170.738 MHz	 25.5 V/m	  0.7 dBm	OK	IP0: 31185	IP2: 85	IP3: 110	(10.86 V/m)	Digital: 0XEF
19/02/2018 16:19:48	   171.592 MHz	 25.4 V/m	 10.0 dBm	OK	IP0: 32216	IP2: 84	IP3: 111	(9.86 V/m)	Digital: 0XEF
19/02/2018 16:19:48	   172.450 MHz	 25.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 32216	IP2: 84	IP3: 111	(8.32 V/m)	Digital: 0XEF
19/02/2018 16:19:53	   173.312 MHz	 22.1 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 32094	IP2: 81	IP3: 113	(7.44 V/m)	Digital: 0XEF
19/02/2018 16:19:58	   174.179 MHz	 19.9 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 32175	IP2: 89	IP3: 112	(7.17 V/m)	Digital: 0XEF
19/02/2018 16:20:03	   175.050 MHz	 19.7 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 32233	IP2: 89	IP3: 114	(6.92 V/m)	Digital: 0XEF
19/02/2018 16:20:08	   175.925 MHz	 20.6 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 32446	IP2: 90	IP3: 109	(6.98 V/m)	Digital: 0XEF
19/02/2018 16:20:13	   176.805 MHz	 21.8 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 32543	IP2: 86	IP3: 107	(7.82 V/m)	Digital: 0XEF
19/02/2018 16:20:18	   177.689 MHz	 22.0 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 32578	IP2: 94	IP3: 109	(8.48 V/m)	Digital: 0XEF
19/02/2018 16:20:24	   178.577 MHz	 22.0 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 32605	IP2: 86	IP3: 113	(9.05 V/m)	Digital: 0XEF
