13/07/2017 16:21:51	    97.664 MHz	  6.5 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21660	(0.61 V/m)	Digital: 0XFF
13/07/2017 16:21:56	    98.152 MHz	  6.3 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21503	(0.36 V/m)	Digital: 0XFF
13/07/2017 16:22:01	    98.643 MHz	  6.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21375	(0.14 V/m)	Digital: 0XFF
13/07/2017 16:22:06	    99.136 MHz	  5.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21379	(0.05 V/m)	Digital: 0XFF
13/07/2017 16:22:11	    99.632 MHz	  5.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21641	(0.21 V/m)	Digital: 0XFF
13/07/2017 16:22:17	   100.130 MHz	  5.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21996	(0.52 V/m)	Digital: 0XFF
13/07/2017 16:22:22	   100.630 MHz	  6.0 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22300	(0.95 V/m)	Digital: 0XFF
13/07/2017 16:22:27	   101.133 MHz	  6.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22520	(1.28 V/m)	Digital: 0XFF
13/07/2017 16:22:32	   101.639 MHz	  6.2 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22866	(1.72 V/m)	Digital: 0XFF
13/07/2017 16:22:37	   102.147 MHz	  6.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23050	(1.99 V/m)	Digital: 0XFF
13/07/2017 16:22:42	   102.658 MHz	  5.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23118	(2.15 V/m)	Digital: 0XFF
13/07/2017 16:22:47	   103.171 MHz	  5.6 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23169	(2.28 V/m)	Digital: 0XFF
13/07/2017 16:22:52	   103.687 MHz	  5.4 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23207	(2.41 V/m)	Digital: 0XFF
13/07/2017 16:22:57	   104.206 MHz	  5.2 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23200	(2.45 V/m)	Digital: 0XFF
13/07/2017 16:23:02	   104.727 MHz	  5.0 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22981	(2.27 V/m)	Digital: 0XFF
13/07/2017 16:23:07	   105.250 MHz	  5.0 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22781	(2.10 V/m)	Digital: 0XFF
13/07/2017 16:23:12	   105.777 MHz	  5.0 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22827	(2.13 V/m)	Digital: 0XFF
13/07/2017 16:23:17	   106.305 MHz	  5.0 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23063	(2.34 V/m)	Digital: 0XFF
13/07/2017 16:23:22	   106.837 MHz	  5.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23509	(2.72 V/m)	Digital: 0XFF
13/07/2017 16:23:27	   107.371 MHz	  5.5 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23992	(3.13 V/m)	Digital: 0XFF
13/07/2017 16:23:32	   107.908 MHz	  5.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 24287	(3.38 V/m)	Digital: 0XFF
13/07/2017 16:23:37	   108.448 MHz	  6.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 24491	(3.55 V/m)	Digital: 0XFF
13/07/2017 16:23:42	   108.990 MHz	  6.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 24374	(3.45 V/m)	Digital: 0XFF
13/07/2017 16:23:47	   109.535 MHz	  5.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 24024	(3.15 V/m)	Digital: 0XFF
13/07/2017 16:23:52	   110.082 MHz	  5.4 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23487	(2.70 V/m)	Digital: 0XFF
13/07/2017 16:23:57	   110.633 MHz	  5.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23062	(2.34 V/m)	Digital: 0XFF
13/07/2017 16:24:02	   111.186 MHz	  4.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22775	(2.09 V/m)	Digital: 0XFF
13/07/2017 16:24:07	   111.742 MHz	  4.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22483	(1.84 V/m)	Digital: 0XFF
13/07/2017 16:24:12	   112.301 MHz	  4.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22396	(1.81 V/m)	Digital: 0XFF
13/07/2017 16:24:17	   112.862 MHz	  5.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22459	(1.93 V/m)	Digital: 0XFF
13/07/2017 16:24:22	   113.426 MHz	  5.4 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22816	(2.32 V/m)	Digital: 0XFF
13/07/2017 16:24:27	   113.994 MHz	  6.0 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23309	(2.84 V/m)	Digital: 0XFF
13/07/2017 16:24:32	   114.564 MHz	  6.6 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23790	(3.35 V/m)	Digital: 0XFF
13/07/2017 16:24:37	   115.136 MHz	  7.0 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23987	(3.63 V/m)	Digital: 0XFF
13/07/2017 16:24:42	   115.712 MHz	  6.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23644	(3.41 V/m)	Digital: 0XFF
13/07/2017 16:24:48	   116.291 MHz	  6.2 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22947	(2.98 V/m)	Digital: 0XFF
13/07/2017 16:24:52	   116.872 MHz	  5.4 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22135	(2.56 V/m)	Digital: 0XFF
