01/02/2016 15:24:10	    80.000 MHz	 13.9 V/m	 -8.7 dBm	OK	IP0: 30046	(10.68 V/m)	Digital: 0XFF
01/02/2016 15:24:15	    80.400 MHz	 14.8 V/m	 -8.1 dBm	OK	IP0: 30245	(11.50 V/m)	Digital: 0XFF
01/02/2016 15:24:21	    80.802 MHz	 14.9 V/m	 -8.1 dBm	OK	IP0: 30222	(11.58 V/m)	Digital: 0XFF
01/02/2016 15:24:27	    81.206 MHz	 14.7 V/m	 -8.3 dBm	OK	IP0: 30124	(11.50 V/m)	Digital: 0XFF
01/02/2016 15:24:33	    81.612 MHz	 14.5 V/m	 -8.4 dBm	OK	IP0: 30019	(11.48 V/m)	Digital: 0XFF
01/02/2016 15:24:38	    82.020 MHz	 14.4 V/m	 -8.6 dBm	OK	IP0: 29905	(11.44 V/m)	Digital: 0XFF
01/02/2016 15:24:43	    82.430 MHz	 14.6 V/m	 -8.5 dBm	OK	IP0: 29915	(11.60 V/m)	Digital: 0XFF
01/02/2016 15:24:49	    82.842 MHz	 14.4 V/m	 -8.7 dBm	OK	IP0: 29777	(11.50 V/m)	Digital: 0XFF
01/02/2016 15:24:55	    83.257 MHz	 14.3 V/m	 -8.9 dBm	OK	IP0: 29650	(11.50 V/m)	Digital: 0XFF
01/02/2016 15:25:01	    83.673 MHz	 14.2 V/m	 -8.9 dBm	OK	IP0: 29571	(11.46 V/m)	Digital: 0XFF
01/02/2016 15:25:07	    84.091 MHz	 14.2 V/m	 -9.0 dBm	OK	IP0: 29509	(11.48 V/m)	Digital: 0XFF
01/02/2016 15:25:13	    84.512 MHz	 14.2 V/m	 -9.1 dBm	OK	IP0: 29403	(11.47 V/m)	Digital: 0XFF
01/02/2016 15:25:19	    84.934 MHz	 14.3 V/m	 -9.1 dBm	OK	IP0: 29381	(11.42 V/m)	Digital: 0XFF
01/02/2016 15:25:25	    85.359 MHz	 14.3 V/m	 -9.1 dBm	OK	IP0: 29316	(11.43 V/m)	Digital: 0XFF
01/02/2016 15:25:31	    85.786 MHz	 14.4 V/m	 -9.1 dBm	OK	IP0: 29225	(11.44 V/m)	Digital: 0XFF
01/02/2016 15:25:37	    86.215 MHz	 14.8 V/m	 -8.9 dBm	OK	IP0: 29287	(11.58 V/m)	Digital: 0XFF
01/02/2016 15:25:42	    86.646 MHz	 14.6 V/m	 -9.0 dBm	OK	IP0: 29161	(11.48 V/m)	Digital: 0XFF
01/02/2016 15:25:48	    87.079 MHz	 14.6 V/m	 -9.1 dBm	OK	IP0: 29055	(11.43 V/m)	Digital: 0XFF
01/02/2016 15:25:54	    87.514 MHz	 15.0 V/m	 -8.8 dBm	OK	IP0: 29104	(11.60 V/m)	Digital: 0XFF
01/02/2016 15:26:00	    87.952 MHz	 14.8 V/m	 -8.9 dBm	OK	IP0: 28995	(11.48 V/m)	Digital: 0XFF
01/02/2016 15:26:06	    88.392 MHz	 14.8 V/m	 -9.0 dBm	OK	IP0: 28899	(11.42 V/m)	Digital: 0XFF
