25/08/2016 11:45:47	     1.000 MHz	 10.4 V/m	-16.9 dBm	OK
25/08/2016 11:45:51	     1.010 MHz	 10.7 V/m	-16.5 dBm	OK
25/08/2016 11:45:54	     1.020 MHz	 10.5 V/m	-16.5 dBm	OK
25/08/2016 11:45:58	     1.030 MHz	 10.5 V/m	-16.5 dBm	OK
25/08/2016 11:46:01	     1.041 MHz	 10.5 V/m	-16.5 dBm	OK
25/08/2016 11:46:04	     1.051 MHz	 10.5 V/m	-16.5 dBm	OK
25/08/2016 11:46:08	     1.062 MHz	 10.5 V/m	-16.5 dBm	OK
25/08/2016 11:46:11	     1.072 MHz	 10.5 V/m	-16.5 dBm	OK
25/08/2016 11:46:14	     1.083 MHz	 10.5 V/m	-16.5 dBm	OK
25/08/2016 11:46:17	     1.094 MHz	 10.4 V/m	-16.5 dBm	OK
25/08/2016 11:46:21	     1.105 MHz	 10.4 V/m	-16.5 dBm	OK
25/08/2016 11:46:24	     1.116 MHz	 10.4 V/m	-16.5 dBm	OK
25/08/2016 11:46:27	     1.127 MHz	 10.4 V/m	-16.5 dBm	OK
25/08/2016 11:46:31	     1.138 MHz	 10.4 V/m	-16.5 dBm	OK
25/08/2016 11:46:35	     1.149 MHz	 10.4 V/m	-16.5 dBm	OK
25/08/2016 11:46:38	     1.161 MHz	 10.4 V/m	-16.5 dBm	OK
25/08/2016 11:46:41	     1.173 MHz	 10.4 V/m	-16.5 dBm	OK
25/08/2016 11:46:45	     1.184 MHz	 10.4 V/m	-16.3 dBm	OK
25/08/2016 11:46:48	     1.196 MHz	 10.4 V/m	-16.3 dBm	OK
25/08/2016 11:46:51	     1.208 MHz	 10.4 V/m	-16.3 dBm	OK
25/08/2016 11:46:54	     1.220 MHz	 10.4 V/m	-16.3 dBm	OK
25/08/2016 11:46:58	     1.232 MHz	 10.4 V/m	-16.3 dBm	OK
25/08/2016 11:47:01	     1.245 MHz	 10.4 V/m	-16.3 dBm	OK
25/08/2016 11:47:04	     1.257 MHz	 10.4 V/m	-16.3 dBm	OK
25/08/2016 11:47:07	     1.270 MHz	 10.4 V/m	-16.3 dBm	OK
25/08/2016 11:47:10	     1.282 MHz	 10.4 V/m	-16.3 dBm	OK
25/08/2016 11:47:14	     1.295 MHz	 10.5 V/m	-16.1 dBm	OK
25/08/2016 11:47:17	     1.308 MHz	 10.4 V/m	-16.1 dBm	OK
25/08/2016 11:47:20	     1.321 MHz	 10.4 V/m	-16.1 dBm	OK
25/08/2016 11:47:23	     1.335 MHz	 10.4 V/m	-16.1 dBm	OK
25/08/2016 11:47:27	     1.348 MHz	 10.4 V/m	-16.1 dBm	OK
25/08/2016 11:47:30	     1.361 MHz	 10.4 V/m	-16.1 dBm	OK
25/08/2016 11:47:34	     1.375 MHz	 10.4 V/m	-16.1 dBm	OK
25/08/2016 11:47:37	     1.389 MHz	 10.4 V/m	-16.1 dBm	OK
25/08/2016 11:47:40	     1.403 MHz	 10.4 V/m	-16.1 dBm	OK
25/08/2016 11:47:43	     1.417 MHz	 10.4 V/m	-16.1 dBm	OK
25/08/2016 11:47:47	     1.431 MHz	 10.7 V/m	-15.7 dBm	OK
25/08/2016 11:47:51	     1.445 MHz	 10.5 V/m	-15.7 dBm	OK
25/08/2016 11:47:54	     1.460 MHz	 10.5 V/m	-15.7 dBm	OK
25/08/2016 11:47:57	     1.474 MHz	 10.5 V/m	-15.7 dBm	OK
25/08/2016 11:48:00	     1.489 MHz	 10.5 V/m	-15.7 dBm	OK
25/08/2016 11:48:03	     1.504 MHz	 10.5 V/m	-15.7 dBm	OK
25/08/2016 11:48:06	     1.519 MHz	 10.5 V/m	-15.7 dBm	OK
25/08/2016 11:48:10	     1.534 MHz	 10.5 V/m	-15.7 dBm	OK
25/08/2016 11:48:13	     1.549 MHz	 10.5 V/m	-15.7 dBm	OK
25/08/2016 11:48:17	     1.565 MHz	 10.5 V/m	-15.7 dBm	OK
25/08/2016 11:48:20	     1.580 MHz	 10.5 V/m	-15.7 dBm	OK
25/08/2016 11:48:24	     1.596 MHz	 10.5 V/m	-15.7 dBm	OK
25/08/2016 11:48:27	     1.612 MHz	 10.4 V/m	-15.7 dBm	OK
25/08/2016 11:48:30	     1.628 MHz	 10.4 V/m	-15.7 dBm	OK
25/08/2016 11:48:34	     1.645 MHz	 10.4 V/m	-15.7 dBm	OK
25/08/2016 11:48:38	     1.661 MHz	 10.4 V/m	-15.7 dBm	OK
25/08/2016 11:48:41	     1.678 MHz	 10.4 V/m	-15.7 dBm	OK
25/08/2016 11:48:44	     1.694 MHz	 10.4 V/m	-15.7 dBm	OK
25/08/2016 11:48:47	     1.711 MHz	 10.4 V/m	-15.7 dBm	OK
25/08/2016 11:48:50	     1.729 MHz	 10.4 V/m	-15.7 dBm	OK
25/08/2016 11:48:53	     1.746 MHz	 10.4 V/m	-15.7 dBm	OK
25/08/2016 11:48:56	     1.763 MHz	 10.4 V/m	-15.7 dBm	OK
25/08/2016 11:49:00	     1.781 MHz	 10.5 V/m	-15.5 dBm	OK
25/08/2016 11:49:03	     1.799 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:49:06	     1.817 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:49:09	     1.835 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:49:12	     1.853 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:49:15	     1.872 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:49:18	     1.890 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:49:21	     1.909 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:49:24	     1.928 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:49:27	     1.948 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:49:31	     1.967 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:49:34	     1.987 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:49:38	     2.007 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:49:41	     2.027 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:49:44	     2.047 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:49:47	     2.068 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:49:50	     2.088 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:49:53	     2.109 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:49:56	     2.130 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:49:59	     2.152 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:50:02	     2.173 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:50:05	     2.195 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:50:08	     2.217 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:50:12	     2.239 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:50:15	     2.261 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:50:19	     2.284 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:50:22	     2.307 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:50:26	     2.330 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:50:29	     2.353 MHz	 10.4 V/m	-15.5 dBm	OK
25/08/2016 11:50:32	     2.377 MHz	 10.5 V/m	-15.5 dBm	OK
25/08/2016 11:50:36	     2.400 MHz	 10.5 V/m	-15.5 dBm	OK
25/08/2016 11:50:39	     2.424 MHz	 10.5 V/m	-15.5 dBm	OK
25/08/2016 11:50:43	     2.449 MHz	 10.5 V/m	-15.5 dBm	OK
25/08/2016 11:50:46	     2.473 MHz	 10.5 V/m	-15.5 dBm	OK
25/08/2016 11:50:49	     2.498 MHz	 10.5 V/m	-15.5 dBm	OK
25/08/2016 11:50:53	     2.523 MHz	 10.7 V/m	-15.5 dBm	OK
25/08/2016 11:50:56	     2.548 MHz	 10.7 V/m	-15.5 dBm	OK
25/08/2016 11:50:59	     2.574 MHz	 10.7 V/m	-15.5 dBm	OK
