17/10/2017 09:17:39	     0.150 MHz	 11.2 V/m	-16.7 dBm	OK
17/10/2017 09:17:43	     0.160 MHz	 11.2 V/m	-16.9 dBm	OK
17/10/2017 09:17:47	     0.170 MHz	 11.0 V/m	-17.1 dBm	OK
17/10/2017 09:17:51	     0.180 MHz	 11.2 V/m	-17.1 dBm	OK
17/10/2017 09:17:55	     0.190 MHz	 11.2 V/m	-17.3 dBm	OK
17/10/2017 09:17:58	     0.200 MHz	 11.2 V/m	-17.3 dBm	OK
17/10/2017 09:18:02	     0.210 MHz	 11.2 V/m	-17.6 dBm	OK
17/10/2017 09:18:06	     0.220 MHz	 11.2 V/m	-17.8 dBm	OK
17/10/2017 09:18:09	     0.230 MHz	 11.2 V/m	-17.8 dBm	OK
17/10/2017 09:18:13	     0.240 MHz	 11.2 V/m	-18.1 dBm	OK
17/10/2017 09:18:16	     0.250 MHz	 11.2 V/m	-18.1 dBm	OK
17/10/2017 09:18:20	     0.260 MHz	 11.2 V/m	-18.3 dBm	OK
17/10/2017 09:18:24	     0.270 MHz	 11.2 V/m	-18.4 dBm	OK
17/10/2017 09:18:28	     0.280 MHz	 11.2 V/m	-18.6 dBm	OK
17/10/2017 09:18:31	     0.290 MHz	 11.2 V/m	-18.6 dBm	OK
17/10/2017 09:18:35	     0.300 MHz	 11.2 V/m	-18.7 dBm	OK
17/10/2017 09:18:39	     0.310 MHz	 11.2 V/m	-18.8 dBm	OK
17/10/2017 09:18:43	     0.320 MHz	 11.2 V/m	-19.0 dBm	OK
17/10/2017 09:18:46	     0.330 MHz	 11.2 V/m	-19.0 dBm	OK
17/10/2017 09:18:50	     0.340 MHz	 11.2 V/m	-19.1 dBm	OK
17/10/2017 09:18:54	     0.350 MHz	 11.2 V/m	-19.3 dBm	OK
17/10/2017 09:18:57	     0.360 MHz	 11.2 V/m	-19.3 dBm	OK
17/10/2017 09:19:00	     0.370 MHz	 11.2 V/m	-19.4 dBm	OK
17/10/2017 09:19:04	     0.380 MHz	 11.2 V/m	-19.5 dBm	OK
17/10/2017 09:19:08	     0.390 MHz	 11.2 V/m	-19.6 dBm	OK
17/10/2017 09:19:12	     0.400 MHz	 11.0 V/m	-19.8 dBm	OK
17/10/2017 09:19:15	     0.410 MHz	 11.2 V/m	-19.8 dBm	OK
17/10/2017 09:19:18	     0.420 MHz	 11.2 V/m	-19.8 dBm	OK
17/10/2017 09:19:22	     0.430 MHz	 11.2 V/m	-20.0 dBm	OK
17/10/2017 09:19:25	     0.440 MHz	 11.2 V/m	-20.0 dBm	OK
17/10/2017 09:19:28	     0.450 MHz	 11.2 V/m	-20.0 dBm	OK
17/10/2017 09:19:32	     0.460 MHz	 11.2 V/m	-20.1 dBm	OK
17/10/2017 09:19:36	     0.470 MHz	 11.2 V/m	-20.2 dBm	OK
17/10/2017 09:19:39	     0.480 MHz	 11.2 V/m	-20.2 dBm	OK
17/10/2017 09:19:43	     0.490 MHz	 11.2 V/m	-20.3 dBm	OK
17/10/2017 09:19:46	     0.500 MHz	 11.2 V/m	-20.3 dBm	OK
17/10/2017 09:19:50	     0.510 MHz	 11.2 V/m	-20.5 dBm	OK
17/10/2017 09:19:53	     0.520 MHz	 11.2 V/m	-20.5 dBm	OK
17/10/2017 09:19:56	     0.530 MHz	 11.2 V/m	-20.5 dBm	OK
17/10/2017 09:20:00	     0.540 MHz	 11.0 V/m	-20.7 dBm	OK
17/10/2017 09:20:03	     0.550 MHz	 11.2 V/m	-20.7 dBm	OK
17/10/2017 09:20:07	     0.560 MHz	 11.2 V/m	-20.7 dBm	OK
17/10/2017 09:20:10	     0.570 MHz	 11.2 V/m	-20.7 dBm	OK
17/10/2017 09:20:13	     0.580 MHz	 11.2 V/m	-20.7 dBm	OK
17/10/2017 09:20:17	     0.590 MHz	 11.2 V/m	-20.8 dBm	OK
17/10/2017 09:20:20	     0.600 MHz	 11.2 V/m	-20.8 dBm	OK
17/10/2017 09:20:24	     0.610 MHz	 11.2 V/m	-20.9 dBm	OK
