11/05/2018 11:20:59:	STAT

11/05/2018 11:20:59:	STAT

11/05/2018 11:20:59:	STAT

11/05/2018 11:20:59:	STAT

11/05/2018 11:21:04:	STAT

11/05/2018 11:21:04:	STAT

11/05/2018 11:21:04:	STAT

11/05/2018 11:21:04:	STAT

11/05/2018 11:21:05:	STAT

11/05/2018 11:21:05:	STAT

11/05/2018 11:21:05:	STAT

11/05/2018 11:21:08:	STAT

11/05/2018 11:21:08:	STAT

11/05/2018 11:21:08:	STAT

11/05/2018 11:21:09:	STAT

11/05/2018 11:21:09:	STAT

11/05/2018 11:21:09:	STAT

11/05/2018 11:21:09:	STAT

11/05/2018 11:21:12:	STAT

11/05/2018 11:21:12:	STAT

11/05/2018 11:21:12:	STAT

11/05/2018 11:21:12:	STAT

11/05/2018 11:21:13:	STAT

11/05/2018 11:21:13:	STAT

11/05/2018 11:21:17:	STAT

11/05/2018 11:21:17:	STAT

11/05/2018 11:21:17:	STAT

11/05/2018 11:21:17:	STAT

11/05/2018 11:21:18:	STAT

11/05/2018 11:21:23:	STAT

11/05/2018 11:21:23:	STAT

11/05/2018 11:21:23:	STAT

11/05/2018 11:21:23:	STAT

11/05/2018 11:21:24:	STAT

11/05/2018 11:21:24:	STAT

11/05/2018 11:21:24:	STAT

11/05/2018 11:21:29:	STAT

11/05/2018 11:21:29:	STAT

11/05/2018 11:21:29:	STAT

11/05/2018 11:21:30:	STAT

11/05/2018 11:21:30:	STAT

11/05/2018 11:21:34:	STAT

11/05/2018 11:21:34:	STAT

11/05/2018 11:21:34:	STAT

11/05/2018 11:21:35:	STAT

11/05/2018 11:21:35:	STAT

11/05/2018 11:21:39:	STAT

11/05/2018 11:21:39:	STAT

11/05/2018 11:21:39:	STAT

11/05/2018 11:21:39:	STAT

11/05/2018 11:21:44:	STAT

11/05/2018 11:21:44:	STAT

11/05/2018 11:21:44:	STAT

11/05/2018 11:21:45:	STAT

11/05/2018 11:21:49:	STAT

11/05/2018 11:21:49:	STAT

11/05/2018 11:21:49:	STAT

11/05/2018 11:21:49:	Resending command...

11/05/2018 11:21:53:	Resending command...

11/05/2018 11:21:53:	STAT

11/05/2018 11:21:53:	STAT

11/05/2018 11:21:53:	STAT

11/05/2018 11:21:56:	STAT

11/05/2018 11:21:56:	STAT

11/05/2018 11:21:56:	STAT

11/05/2018 11:21:56:	STAT

11/05/2018 11:21:57:	STAT

11/05/2018 11:22:01:	STAT

11/05/2018 11:22:01:	STAT

11/05/2018 11:22:01:	STAT

11/05/2018 11:22:01:	STAT

11/05/2018 11:22:02:	STAT

11/05/2018 11:22:02:	STAT

11/05/2018 11:22:02:	STAT

11/05/2018 11:22:07:	STAT

11/05/2018 11:22:07:	STAT

11/05/2018 11:22:07:	STAT

11/05/2018 11:22:08:	STAT

11/05/2018 11:22:08:	STAT

11/05/2018 11:22:08:	STAT

11/05/2018 11:22:13:	STAT

11/05/2018 11:22:13:	STAT

11/05/2018 11:22:13:	STAT

11/05/2018 11:22:14:	STAT

11/05/2018 11:22:14:	STAT

